nr,bereich,nische,beispielprodukte,typischer_aov_eur,typische_provision,provision_pro_bestellung_eur,hauptprogramme_beleg,kaufintention_1_5,visual_viral_1_5,ai_fit_1_5,passivitaet_1_5,compliance_trust_risiko,cross_platform_1_5,produkte_pro_content,theme_page_affiliate_belegt,saisonalitaet,markt_hypothese,status,hauptgrund,datenqualitaet
48,Mode,Sneakers,Sneaker-Releases,100–400,"3–15 % (Nike bis 15 %/7 T, StockX/GOAT Impact)",5–30,"Nike, StockX (D)",3,4,2,1,MEDIUM,4,1–3,"teilweise (Grailify, Sneakerjagers – J)",Drops,EN/DE,Longlist,"Drop-getrieben, hoher Pflegeaufwand",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
49,Mode,Schmuck,"Ketten, Ringe",30–500,"3–9 % (Thomas Sabo 8 %, CHRIST 8 %, Blue Nile 3,5 % nur mit Domain)",2–30,"Thomas Sabo, CHRIST (D)",3,4,2,3,MEDIUM-HIGH,5,2–4,nein (J: keine Accounts),Q4,DE,Longlist,"Produktdetails per AI nicht exakt; Luxus-CVR 0,6–0,7 %",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
50,Mode,Uhren,Luxus- und Designuhren,100–20.000,"2,5–9 % (Chrono24 2,5 %, Uhrcenter 9 %, eBay 4 %/24 h)",5–500,"Chrono24, Uhrcenter, Jomashop (D)",3,4,2,4,MEDIUM-HIGH,3,1–2,nein (J: nicht belegt),Q4,EN,Longlist,"Uhren-Details/Logos per AI heikel (Marken, Fälschungsnähe)",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
51,Mode,Taschen / Luxury Resale,Designertaschen,300–5.000,"4–7 % (Rebag 7 %, Mytheresa 4,8–9,6 %)",15–200,"Rebag, Mytheresa (D)",3,4,2,3,HIGH,4,1–2,nein,Q4,EN,verworfen,Fälschungs-/Markenrisiko bei AI-Darstellung,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
52,Lifestyle,"Luxury Lifestyle (Autos, Yachten)",nicht kaufbar,n/a,n/a,0,keine,1,5,4,5,LOW,5,0,nein,keine,EN,verworfen,keine Affiliate-Produkte,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
53,Auto,Autozubehör / Tesla-Zubehör,"Matten, Halterungen, Dashcams",20–300,"DE 5 % Amazon; Nextbase 6–8 %, Autodoc 8 %",1–15,"Amazon Auto, Nextbase, Autodoc (C)",4,3,2,3,MEDIUM,3,2–5,ja (TaylorOnWheels – J),gering,DE,Shortlist K24,Einbau-/Funktionsdemos müssen echt sein,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
54,Auto,Car Detailing,"Pflegemittel, Poliermaschinen",20–300,5–10 % (Chemical Guys bis 10 %),1–15,"Chemical Guys, Amazon (C)",4,4,1,3,MEDIUM-HIGH,3,2–4,nein (Reichweite ohne Links – J),Frühjahr,US,in K24,Vorher/Nachher per AI = Täuschung,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
55,DIY,Tools / DIY / Werkstatt,"Akkuwerkzeug, Werkbänke",30–1.200,"DE 5 % Amazon, hagebau 10 %, toom 8 %; US Home Depot 1 %/1 Tag",2–60,"hagebau, toom, OBI, myToolStore Ø1.143 € (C)",4,3,2,3,MEDIUM,3,2–5,ja (Malerart DE 464k YT – J),Frühjahr,DE,Longlist,Nutzung muss echt sein; DE-Programme gut (5 %/10 %),Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
56,Baby,Baby / Parenting Products,"Kinderwagen, Babyphones, Autositze",30–1.200,"3–10 % (CYBEX 6 %, Momcozy 10 %, Lovevery UK 10 %)",2–60,"CYBEX, Momcozy, Babylist (C)",4,3,2,3,HIGH,3,2–4,nein (EN nicht belegt – I),gering,US/DE,verworfen,Sicherheitsprodukte + Eltern-Trust → HIGH,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
57,Hobby,LEGO / Collectibles,"Sets, Figuren, Karten",20–800,"3–4 % (LEGO EU 3,57 %, eBay 3 %/24 h)",1–20,"LEGO (Daisycon), eBay Partner Network (D)",3,4,2,3,MEDIUM,3,1–3,ja (DE: Promobricks – J),Q4,DE,Longlist,Marken-/IP-Risiko bei AI-Darstellung; niedrige Provision,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
58,Wellness,Supplements / Nahrungsergänzung,"Protein, Vitamine",20–80,Amazon Health 1 %; Brands 10–30 % (TikTok Shop),1–15,(bewusst nicht recherchiert),4,3,2,4,HIGH,3,1–3,"teilweise (KI-Supplement-Video TikTok Shop – K, CS5)",Jan.,US,verworfen,HCVO/FTC-Claims-Risiko; Auftrag: nur wenn regulatorisch sinnvoll,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
