nische,markt,instagram_werbereichweite,e_commerce_markt,kaufkraft_1_5,amazon_und_provision,publikums_geo,cpm_kaufkraft_proxy,konkurrenz_1_5_(5=wenig),grosse_theme_pages_beleg,professionelle_ai_pages,affiliate_programme,typischer_aov,conversion_hinweis,versand_verfuegbarkeit,erreichbare_views_monat12_base_strong,gesamtbewertung_1_5,begruendung,datenqualitaet
Beauty / Skincare / Devices,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",2,personenzentriert,–,"The Ordinary 13–20 %, Sephora DE 12 %, Lookfantastic 12 %",30–80 €,"DY Beauty 5,39 %",gut,2 Mio. / 7 Mio.,2,"hohe Raten, aber HIGH Compliance","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Beauty / Skincare / Devices,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",2,personenzentriert,–,"medicube 20 %, Foreo 6 %/60 T; Sephora/Ulta Impact (nicht öffentlich)",40–400 $,"DY Beauty 5,39 %",gut,3 Mio. / 10 Mio.,2,HIGH Compliance,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Beauty / Skincare / Devices,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",2,–,–,"Lookfantastic 15 %, Cult Beauty (keine Influencer via Awin)",–,–,gut,Teil EN-Pool,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Beauty / Skincare / Devices,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",2,–,–,–,–,–,mittel,–,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Fashion (faceless),DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",2,Theme-Pages existieren (K: D01),–,"Breuninger 12 %, Lounge 12 %, OTTO bis 15 % (nur via Stylink/Metapic); Zalando/ABOUT YOU ohne Programm",40–150 €,"DY Fashion 2,77 %",Retouren 45–55 %,2 Mio. / 7 Mio.,2,Retouren fressen Provision,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Fashion (faceless),US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",2,–,–,"Nike bis 15 %/7 T, Revolve 5 %, LTK/ShopMy (Personen)",50–300 $,–,Retouren 25 %,5 Mio. / 20 Mio.,2,Creator-Plattformen personengebunden,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Fashion (faceless),UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",2,–,–,"adidas UK 6 %, Mytheresa 4 %",–,–,–,Teil EN-Pool,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Fashion (faceless),International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",2,–,–,–,–,–,mittel,–,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Travel Gear,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",3,–,–,"Koffer.de 5 %, Eastpak 6 %, Horizn DE schließt",50–300 €,–,gut,1 Mio. / 4 Mio.,2,Programme schwach,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Travel Gear,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",3,–,–,"NOMATIC 15 %, Tortuga 10 % (AOV >250 $), Travelpro 8–10 %/45 T, Bellroy 7 %",45–400 $,–,gut,3 Mio. / 10 Mio.,4,starke Brand-Programme,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Travel Gear,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",3,–,–,Db 3 %,–,–,gut,Teil EN-Pool,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Travel Gear,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",3,–,–,"eSIM global (Saily 15 %, Airalo 10 %)",10–60 $,–,gut (digital),3 Mio. / 10 Mio.,4,eSIM global lieferbar,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Golf / Golf-Simulatoren,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",4,–,–,"Golf House 6 %, Golfshop.de 2,5–6 %",50–500 €,–,gut,"0,5 Mio. / 2 Mio.",2,klein,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Golf / Golf-Simulatoren,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",4,keine Golf-Affiliate-Theme-Page belegt; Shorts mit Mio.-Views ohne Links – J,–,"SkyTrak 10–15 %, 2nd Swing 5–15 %",80–5.000 $,–,gut,"1,5 Mio. / 5 Mio.",3,"High-Ticket, kleine Nische","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Golf / Golf-Simulatoren,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",3,–,–,American Golf (nicht öffentlich),–,–,–,–,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Golf / Golf-Simulatoren,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",3,–,–,–,–,–,–,–,2,–,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
