id,titel,content_pillar,hook,visual_hook_first_2s,raum,location,stil,farbschema,kamera,laenge_sek,text_overlay,cta,monetarisierung,warum_laut_daten,test_variable,prioritaet
"C041","Pick One – The Front Door","P2 Pick One","Your front door: a stone portal, a pivot wall or a waterfall. Choose.","Door 1: massive stone portal swinging open, warm light spilling onto a figure","exterior_facade (entrance)","fictional","warm_luxury / futuristic / fantasy","bronze, stone, amber, night blue","static frame, door opens, about 3 s per variant","9-12","1 / 2 / 3","Comment 1, 2 or 3.","Reichweite/Kommentare","Cover door_or_threshold 0,97 (n=242, Digest-Segment), innerhalb Accounts +4 Pp (Digest-Within; Top-10 % = 28 Reels, kleine n); Choice Kommentare/View 5,67× (Digest Key contrasts)","Frame 1: Tür öffnet sich vs. geschlossen","B (Woche 3–4)"
"C042","Pick One – Same House, Three Landscapes","P2 Pick One","Same house. Mountain, beach or jungle. Where do you put it?","The house glowing on a mountain ledge with a figure on the terrace, '1' in the corner","exterior_facade","mountain / ocean_beach / jungle_tropical (fictional)","warm_luxury","identical house palette; only the landscape changes","identical drone approach per variant","10-12","1 / 2 / 3","Comment 1, 2 or 3.","Reichweite; eigene Setting-Daten","KI mountain 1,72 (n=33), KI ocean_beach 1,81 (n=26), KI jungle 0,73 (n=33) (04-DB); Landscape-Kruskal n.s. (Digest) → Publikumsvotum als eigener Datenpunkt","Kommentar-Verteilung als Setting-Präferenz (Datenerhebung)","A (Start, Woche 1–2)"
"C043","Pick One – One Room, Three Eras","P2 Pick One","Same living room in 1960, 1790 and 2090. Which one is home?","Mid-century version lit warm at night, figure on the sofa, '1960' small in the corner","living_room","none (interior)","mid_century / neoclassical / futuristic","walnut & brass / cream & gilt / bronze & night blue","identical slow push-in per variant","10-12","1960 / 1790 / 2090","Comment the year.","Möbel-'similar items' für Variante 1 und 2 (q02)","mid_century 1,50 (n=29), neoclassical 1,63 (n=29), futuristic 1,04 (n=91) (Digest-Segment, Stil-Kruskal n.s.); KI living_room nur 0,69 (n=123, 04-DB) → nur im Choice-Rahmen","Stil-Präferenz per Kommentar (Datenerhebung)","B (Woche 3–4)"
"C044","Pick One – The Night Lounge Outside","P2 Pick One","Sunken fire pit, hanging daybed or pool deck. Where does the night end?","Sunken lounge 1 glowing at night with two figure silhouettes","terrace_outdoor","fictional (mountain terrace)","warm_luxury","travertine, teak, amber, night blue","slow orbit per variant","10-12","1 / 2 / 3","Comment 1, 2 or 3.","Outdoor-Möbel-Affiliate 'similar items' (Wayfair bis 7 %, THIRD-PARTY ESTIMATE – q02)","KI terrace_outdoor 1,06 (n=26, 04-DB); Achtung fireplace 0,74 (n=108, Digest-Segment) → Feuer nur als eine von drei Varianten","Kommentar-Anteil Feuer-Variante vs. andere","B (Woche 3–4)"
"C045","Pick One – The Office You'd Actually Go To","P2 Pick One","A desk in a treehouse, on a bridge or at the top of a tower. Where do you work?","Treehouse desk 1 lit by a brass lamp at dusk, figure typing","office","fictional","mid_century / futuristic / warm_luxury","walnut, brass, amber, blue hour into night","slow push-in per variant","9-12","1 / 2 / 3","Comment 1, 2 or 3. Tag your coworker.","Schreibtisch/Stuhl-'similar items' (q02)","office gesamt 1,22 (n=25, Digest-Segment); CTA tag_friend 1,16 (n=43, n.s., Digest-Segment)","CTA: Choice + Tag vs. nur Choice","B (Woche 3–4)"
"C046","Pick One – The Garden Path Home","P2 Pick One","Lantern stairs, stepping stones or a tunnel of vines. Pick your way home.","Figure on lantern-lit stone stairs through a night garden, '1' in the corner","garden_landscape + stairs_hall","fictional","tropical / warm_luxury / traditional_regional","green, stone, lantern amber, night blue","follow shot behind the figure per variant","10-12","1 / 2 / 3","Comment 1, 2 or 3.","Gartenleuchten-'similar items' (q02)","KI garden_landscape 1,61 (n=43), KI stairs_hall 2,24 (n=16) (04-DB); KI mit Personen 1,68×, p≈0,02 (Digest Key contrasts)","Follow-Shot vs. statischer Rahmen","A (Start, Woche 1–2)"
"C047","Pick One – The Shower","P2 Pick One","Stone rain shower, open-air jungle shower or a glass box over a lake. Pick one.","Stone rain shower 1 switching on, warm light and steam around a silhouette","bathroom","fictional","warm_luxury / tropical / minimalist","travertine, brass, green, amber","static frame, water starts, about 3 s per variant","9-12","1 / 2 / 3","Comment 1, 2 or 3.","Armaturen-'similar items' (q02)","KI bathroom 1,45 (n=28, 04-DB); bathroom gesamt 1,43 (n=60), aber Likes/View nur 0,014 (Digest-Segment) → Kommentare über Choice holen","Frame 1: Wasser startet vs. ruhiger Start","B (Woche 3–4)"
"C048","Pick One – Same Bathroom, Three Budgets","P2 Pick One","Same bathroom at three budgets. Which one would you actually build?","The '$' version first, clean and warm, figure washing hands, '$' in the corner","bathroom","none (interior)","minimalist / warm_luxury / glam_feminine","warm neutrals; materials step up per tier (tile → travertine → marble)","identical slow push-in per tier","10-12","$ / $$ / $$$ (tiers only, no prices)","Comment $, $$ or $$$. Comment LIST for similar pieces.","Kommentar-Keyword→DM Similar-Items je Budget (Amazon Home 3 %, Wayfair bis 7 % THIRD-PARTY – q02)","Money-Hook 1,19 (n=82), 1,28× n.s. + Choice (Digest Key contrasts); comment_keyword höchste Kommentare/View 0,00203 (n=145), Views adj nur 0,86 (Digest-Segment)","CTA: Budget-Choice allein vs. + Keyword","A (Start, Woche 1–2)"
"C049","Pick One – Which Light?","P2 Pick One","Same room, three lights. Only one feels like home.","Room at blue hour with the same seated figure, '1' in the corner","living_room (impossible rock shell)","mountain (fictional)","warm_luxury","identical materials; only the lighting changes","locked-off frame, identical per variant","9-12","1 / 2 / 3","Comment 1, 2 or 3.","Leuchten-'similar items' (q02)","night_artificial 1,14 (n=387) vs. daylight 0,94 = 1,21× n.s. (Digest Key contrasts); blue_hour 0,98 (n=218), golden_hour 0,95 (n=186) (Digest-Segment) → Publikumsvotum als Zusatzsignal","Licht-Präferenz per Kommentar (Datenerhebung)","B (Woche 3–4)"
"C050","Pick One – The Sofa for an Impossible Room","P2 Pick One","The room is impossible. The sofa isn't. Pick the one you'd buy.","Cave lounge with sofa 1 already in place and a figure sitting down, warm light","living_room","fictional (cave lounge)","warm_luxury / mid_century / minimalist","cream boucle, cognac, walnut, amber","static wide, the sofa swaps every 3 s (same room)","9-12","1 / 2 / 3","Comment SOFA plus the number for similar picks.","Kommentar-Keyword→DM Similar-Sofa-Liste (LTK Exact/Similar – q02)","Hybrid-Hypothese 'impossible places, possible furniture' (Brief); Shoppability high 0,98 (n=530) vs. low 0,97 (n=1.217) = 1,01×, p=0,91 (Digest Key contrasts); innerhalb Accounts high shoppability +6 Pp in Top-10 % (Digest-Within, 25 Accounts)","Kaufbarkeit: Lookalike eines realen Produkts vs. freies KI-Design","A (Start, Woche 1–2)"
"C051","Pick One – The Canopy Bed","P2 Pick One","Four canopy beds, one impossible tower room. Which one stays?","Tower room at night with bed 1, stars through an open roof, figure reading","bedroom","fictional tower","warm_luxury / glam_feminine / mid_century / tropical","cream linen, brass frame, amber, night blue","static frame, the bed swaps every 2.5 s","10-12","1 / 2 / 3 / 4","Comment 1 to 4.","Bett/Textil-'similar items' (q02)","KI glam_feminine 1,95 (n=15) und KI warm_luxury 1,85 (n=15) (04-DB, Grenzwert); KI bedroom nur 0,77 (n=110) → nur Choice","Anzahl Varianten: 4 vs. 3 (vgl. C038)","C (Test/Backlog)"
"C052","Pick One – You Can Only Keep One Unbuilt","P2 Pick One","Four Unbuilt homes. You can only keep one.","Unbuilt No. 001 mid-reveal, '1' in the corner","mixed (recap of P1)","fictional","warm_luxury","series palette","best 2.5 s of each Unbuilt reel, sequential","10-12","1 / 2 / 3 / 4 · AI concepts","Comment the number you'd keep.","Reichweite; Asset-Recycling","Choice Kommentare/View 5,67× (Digest Key contrasts); KI Choice-Hook 1,37 (n=25, 04-DB); Serien-Recycling senkt Produktionsaufwand","Recap-Choice vs. Einzel-Reveal (Views/Follower)","B (Woche 3–4)"
"C053","Pick One – The Terrace","P2 Pick One","Three terraces, three nights. Where do you end your evening?","Terrace 1 above a mountain valley, warm lights, figure with a glass","terrace_outdoor","mountain / ocean_beach / city_skyline (fictional)","warm_luxury","teak, travertine, amber, night blue","slow push from behind the figure per variant","10-12","1 / 2 / 3","Comment 1, 2 or 3.","Outdoor-Möbel-'similar items' (q02)","KI terrace_outdoor 1,06 (n=26, 04-DB); innerhalb Accounts city_skyline +16 Pp (Digest-Within) vs. KI city_skyline 0,77 (n=49, 04-DB) → Skyline im Vergleich testen","Setting-Votum mountain vs. ocean vs. skyline","B (Woche 3–4)"
"C054","Pick One – Stair Light","P2 Pick One","Same staircase, three ways to light it at night. Pick one.","Staircase with glowing step lights and a figure's long shadow, '1' in the corner","stairs_hall","none (interior)","warm_luxury","travertine, brass, amber glow, dark shadow","locked-off frame, identical per variant","9-10","1 / 2 / 3","Comment 1, 2 or 3.","LED-/Leuchten-'similar items' (q02)","KI stairs_hall 2,24 (n=16, 04-DB); innerhalb Accounts night_artificial +12 Pp in Top-10 % (Digest-Within)","Länge: 9 s vs. 15 s","C (Test/Backlog)"
"C055","Pick One – The Stone","P2 Pick One","Travertine, green marble or black basalt. One bathroom, you choose the stone.","Travertine version with warm light and a robe on the hook, '1' in the corner","bathroom","none (interior)","warm_luxury","travertine / green marble / black basalt","identical slow push-in per variant","9-12","1 / 2 / 3","Comment 1, 2 or 3.","Fliesen/Stein-'similar items' (q02); Kooperation mit Naturstein-Händlern (Konditionen UNKNOWN, q03)","Materialien ohne Auffälligkeit: natural_stone 1,00 (n=738), marble 0,98 (n=325) (Digest-Segment; Mehrfachcodierung, nicht signifikanzgetestet) → Material ist Commerce-, kein Reichweiten-Hebel; KI bathroom 1,45 (n=28, 04-DB)","Material-Präferenz per Kommentar (Datenerhebung)","C (Test/Backlog)"
"C056","From Nothing Ep. 01 – Rock Slope to Garden Pool","P3 Dream Builds","Bare rock slope. Watch it turn into a garden with a pool.","Barren rocky slope with a single figure on it; the first stones already moving","garden_landscape + pool","mountain (fictional)","warm_luxury + tropical planting","grey rock → green, travertine, turquoise; dusk into night","locked-off drone angle, sequential build stages, ends at night","15-20","From Nothing · Ep. 01 · AI concept","Which stage would you stop at?","Outdoor-Möbel-/Pool-'similar items' (q02); Planungs-App-Affiliate (Planner 5D 25 %, 50 % erst ab 500 Sales/Monat – q03)","Beobachtet (Digest-Top80): KI-Transformation epocraftdiy adj 330, cairo_ia adj 164; YT-Transformation-Titel Kanal-Index 1,15 (n=268, 10 Kanäle, PROXY); KI garden 1,61 (n=43, 04-DB)","Länge: 12 s vs. 20 s","A (Start, Woche 1–2)"
"C057","From Nothing Ep. 02 – Concrete Basement to Grotto Spa","P3 Dream Builds","A bare concrete basement becomes a stone grotto spa.","Dim raw concrete room; a single lamp switches on next to a figure","bathroom + pool","none (interior)","warm_luxury","grey concrete → travertine, brass, amber","fixed corner angle, stages dissolve, final slow push-in","12-18","From Nothing · Ep. 02 · AI concept","Would you ever leave the basement?","Bad-/Spa-'similar items' (q02); B2B-Badplanung (q06)","KI bathroom 1,45 (n=28, 04-DB); Cover empty_room nur 0,76 (n=83, Digest-Segment) → Start nicht leer lassen, sofort Licht/Bewegung","Frame 1: leerer Raum vs. Licht geht an","A (Start, Woche 1–2)"
"C058","From Nothing Ep. 03 – Flat Lawn to Sunken Lounge","P3 Dream Builds","A flat, boring backyard. Then the ground opens.","Plain lawn at dusk with a figure; a rectangle of turf starts sinking","garden_landscape + terrace_outdoor","none (generic backyard)","warm_luxury","green lawn → travertine, teak, amber, night blue","fixed high angle, stages, final orbit at night","15-18","From Nothing · Ep. 03 · AI concept","Comment LOUNGE for similar outdoor pieces (similar, not exact).","Outdoor-Möbel-Affiliate per DM (Wayfair bis 7 %, THIRD-PARTY ESTIMATE – q02)","Beobachtet (Digest-Top80): realer Outdoor-Reveal paulmarkkitchens adj 86,9, KI-Garten myplants.uae adj 37,4; KI garden 1,61 (n=43, 04-DB); Shoppability high vs. low ohne messbaren Unterschied (1,01×, p=0,91, Digest Key contrasts)","CTA: Keyword vs. Choice","A (Start, Woche 1–2)"
"C059","From Nothing Ep. 04 – Ruin to Courtyard Home","P3 Dream Builds","Four stone walls and no roof. Give it a minute.","Roofless stone ruin at blue hour, figure standing in the doorway","exterior_facade + garden_landscape","none (hillside, fictional)","traditional_regional + warm_luxury","old stone, olive green, amber, night blue","slow orbit; stages appear as the camera circles","15-20","From Nothing · Ep. 04 · AI concept","Restore it or rebuild it?","Reichweite; B2B-Architektur-Lead (q06)","traditional_regional 1,33 (n=111, Digest-Segment); YT-Transformation 1,15 (PROXY); Split-Cover 0,53 (n=22, n.s., Digest Key contrasts) → Reveal im Video, nie als Split-Cover","Kamera: Orbit mit Stufen vs. fixer Winkel","B (Woche 3–4)"
"C060","From Nothing Ep. 05 – Empty Rooftop to Night Garden","P3 Dream Builds","An empty rooftop at 6 pm. A garden by midnight.","Bare gravel rooftop as city lights come on; figure setting down the first plant pot","terrace_outdoor + garden_landscape","city_skyline (generic, fictional)","warm_luxury + tropical planting","gravel grey → green, teak, amber, city-light night","fixed wide angle, dusk-to-night progression","15-18","From Nothing · Ep. 05 · AI concept","Comment ROOF for the planter & lights list.","Pflanzgefäße/Leuchten-'similar items' per DM (q02)","city_lights 1,09 (n=124, Digest-Segment), innerhalb Accounts +13 Pp (Digest-Within); aber KI city_skyline 0,77 (n=49, 04-DB) → testen","Setting: Stadt vs. Berg (C062)","B (Woche 3–4)"
"C061","From Nothing Ep. 06 – Dry Riverbed to Swimming Pond","P3 Dream Builds","A dry riverbed becomes a natural swimming pond.","Cracked dry riverbed, crouching figure, the first water trickling in","pool + garden_landscape","lake_river (fictional)","tropical + minimalist","dusty ochre → green, stone, clear water, blue hour","low slider along the bed, stages dissolve","15-18","From Nothing · Ep. 06 · AI concept","Swim in it: yes or no?","Garten-/Teich-'similar items' (q02); B2B-Landschaftsbau (q06)","KI garden 1,61 (n=43), KI pool 1,16 (n=23) (04-DB); desert 0,515 (n=34, Digest-Segment) → Dürre-Anfang kurz halten","Anteil Vorher-Phase: 2 s vs. 5 s","B (Woche 3–4)"
"C062","From Nothing Ep. 07 – Mountain Ledge to Hot-Spring Deck","P3 Dream Builds","A narrow ledge on a mountain. Now there's a hot spring on it.","Windswept empty ledge, figure with a backpack, first stone slabs appearing","pool + terrace_outdoor","mountain (fictional)","warm_luxury","grey rock → travertine, steam, amber, night blue","drone hold on the ledge, stages, final pull-back at night","15-18","From Nothing · Ep. 07 · AI concept","Would you hike up for this?","Tool-Credit / Higgsfield Earn (max. 2.500 USD pro Video, als bezahlte Werbung kennzeichnen – q03)","KI mountain 1,72 (n=33), KI pool 1,16 (n=23), KI night_artificial 1,27 (n=93) (04-DB)","Ende: Pull-back vs. Push-in","A (Start, Woche 1–2)"
"C063","From Nothing Ep. 08 – Bare Stair Shell to Stair Hall","P3 Dream Builds","Raw concrete stairs. Watch them become the best room in the house.","Grey concrete stair shell with a figure sitting on a step","stairs_hall","none (interior)","warm_luxury","concrete → travertine, walnut, brass, amber","fixed low angle up the stair, stages","12-15","From Nothing · Ep. 08 · AI concept","Comment STAIR for the lighting & rail list.","Leuchten/Handlauf-'similar items' (q02); B2B-Treppenbau (q06)","stairs_hall gesamt 1,17 (n=75, Digest-Segment), KI 2,24 (n=16, 04-DB); beobachtet: KI-Loft Before→After ai.design.ideas adj 131 (Digest-Top80)","Zwischenschritte: 3 vs. 5 Stufen","A (Start, Woche 1–2)"
"C064","From Nothing Ep. 09 – Empty Beach Plot to Lagoon House","P3 Dream Builds","An empty stretch of sand. By nightfall there's a house on the water.","Untouched beach with one figure and a wooden stake, tide moving","exterior_facade + pool","ocean_beach (fictional)","tropical","sand → teak, turquoise, amber, night blue","fixed high drone angle, stages, dusk into night","15-20","From Nothing · Ep. 09 · AI concept","Would you trade your house for this plot?","Reichweite; Outdoor-'similar items' (q02)","KI ocean_beach 1,81 (n=26, 04-DB); ocean_beach gesamt nur 0,79 (n=164, Digest-Segment) → Strand nur als KI-Konzept, nicht als Reiseclip","Ende: Nacht vs. Sonnenuntergang","B (Woche 3–4)"
"C065","From Nothing Ep. 10 – Tiny Balcony to Night Retreat","P3 Dream Builds","A balcony barely wider than a chair. Watch.","Tiny empty concrete balcony, figure squeezing out with a mug","terrace_outdoor","city_skyline (generic, fictional)","warm_luxury + mid_century","concrete → teak, plants, amber string lights, night blue","fixed angle from the doorway, stages","12-15","From Nothing · Ep. 10 · AI concept","Comment BALCONY for similar pieces.","Balkon-Möbel-'similar items' per DM (Amazon Home 3 % – q02); realistischstes Commerce-Format","Shoppability high 0,98 (n=530) vs. low 0,97 = 1,01×, p=0,91 (Digest Key contrasts); innerhalb Accounts high shoppability +6 Pp (Digest-Within); Risiko: KI aspirational_realistic nur 0,90 (n=328)","Realismus: realistisch vs. leicht überhöht","B (Woche 3–4)"
"C066","From Nothing Ep. 11 – Old Water Tank to Plunge Pavilion","P3 Dream Builds","A rusty water tank on a hill. Now it's a plunge pool pavilion.","Rusted round tank on a hill at dusk, figure knocking on its side","pool + other (pavilion)","mountain valley (fictional)","industrial shell + warm_luxury","rust → bronze, travertine, turquoise, amber","orbit around the tank, one stage per revolution","15-18","From Nothing · Ep. 11 · AI concept","Would you swim in a former water tank?","Reichweite; B2B-Poolbau (q06)","KI pool 1,16 (n=23, 04-DB); industrial gesamt 0,85 (n=46, Digest-Segment) → nur als Hülle; YT-Transformation 1,15 (n=268, PROXY)","Kamera: Orbit vs. fixer Winkel","C (Test/Backlog)"
"C067","From Nothing Ep. 12 – Blank Courtyard to Jungle Shower","P3 Dream Builds","A blank concrete courtyard. Add water, plants and warm light.","Empty grey courtyard, first drops of water falling, figure looking up","bathroom (outdoor shower) + garden_landscape","none (courtyard, fictional)","tropical","grey → deep green, stone, brass, amber","fixed top-down, stages, final eye-level push","12-15","From Nothing · Ep. 12 · AI concept","Indoor or outdoor shower for the rest of your life?","Outdoor-Dusche-'similar items' (q02)","KI tropical 1,70 (n=20), KI bathroom 1,45 (n=28), KI garden 1,61 (n=43) (04-DB)","Kamera: Top-down vs. Augenhöhe","B (Woche 3–4)"
"C068","From Nothing Ep. 13 – Plain Bathroom to Stone Grotto","P3 Dream Builds","Plain white bathroom. Same footprint. Now it's a grotto.","Generic white bathroom, figure reaching for the light switch","bathroom","none (interior)","warm_luxury","white tile → travertine, brass, amber","fixed doorway angle, stages dissolve","12-15","From Nothing · Ep. 13 · AI concept","Comment GROTTO for the similar fixtures list.","Bad-'similar items' per DM (q02)","bathroom gesamt 1,43 (n=60, Digest-Segment), KI 1,45 (n=28, 04-DB); comment_keyword Kommentare/View 0,00203 (n=145), Views adj 0,86 (Digest-Segment)","CTA: Keyword vs. keine","A (Start, Woche 1–2)"
"C069","From Nothing Ep. 14 – Cave Mouth to Underground Lounge","P3 Dream Builds","A dark cave entrance. Somebody left the lights on inside.","Black cave mouth at night with a first warm glow deep inside; figure walking in","living_room + pool","mountain (fictional cave)","warm_luxury","dark rock, amber, turquoise pool","follow the figure in; stages reveal as the lights come on","12-15","From Nothing · Ep. 14 · AI concept","How deep would you go?","Reichweite","KI night_artificial 1,27 (n=93) und KI Curiosity-Hook 1,50 (n=67) (04-DB); KI fantasy 2,27 (n=53, Digest Key contrasts)","Hook: Curiosity-Text vs. kein Text-Hook","A (Start, Woche 1–2)"
"C070","From Nothing Ep. 15 – Bare Hillside to Treehouse Village","P3 Dream Builds","One bare hillside, a few old trees, one very long weekend.","Bare hill with a few trees, figure carrying a coil of rope","other (treehouses) + garden_landscape","forest / mountain (fictional)","warm timber + traditional_regional","brown hill → timber, amber lanterns, green, night blue","fixed wide drone, stages, final night orbit","15-20","From Nothing · Ep. 15 · AI concept","Which treehouse is yours? Tag who gets the other one.","Reichweite/Sends","treehouse vpf 9,44, 58 % ≥5× Follower (n=26, Digest-Segment; größenbereinigt adj nur 0,91); tag_friend 1,16 (n=43, n.s.)","CTA: Tag vs. Choice","B (Woche 3–4)"
"C071","From Nothing Ep. 16 – Greenhouse Frame to Glass Living Room","P3 Dream Builds","Just a greenhouse frame. Then it becomes the living room.","Empty steel greenhouse skeleton in a field at dusk, figure inside","living_room + garden_landscape","none (meadow, fictional)","tropical + mid_century","green, walnut, brass, amber, blue hour","slow push-in through the frame, stages","12-15","From Nothing · Ep. 16 · AI concept","Would you live in glass?","Möbel-'similar items' (q02)","explorativ: glass 0,875 (n=1543, Digest-Segment) → Glas allein kein Hebel; KI living_room 0,69 (n=123, 04-DB) → prüft, ob Transformationsmechanik einen schwachen Raum trägt","Explorativ: Transformation mit schwachem Raum vs. C057","C (Test/Backlog)"
"C072","From Nothing Ep. 17 – Quarry Pit to Sunken Garden Home","P3 Dream Builds","An abandoned quarry. Now it's a sunken garden with a house inside.","Deep empty quarry pit at dusk, tiny figure at the bottom","garden_landscape + exterior_facade","none (quarry, fictional)","warm_luxury + tropical","pale stone, lush green, turquoise, amber","top-down descent, stages, ends at eye level","15-20","From Nothing · Ep. 17 · AI concept","Would you live below ground level?","B2B-Landschaftsbau (q06); Tool-Credit (q03)","KI garden 1,61 (n=43, 04-DB); beobachtet: KI-Transformation epocraftdiy adj 330 (Einzel-Reel, codiert aspirational_realistic, nicht fantasy; Digest-Top80); YT-Transformation 1,15 (PROXY)","Länge: 15 s vs. 20 s","B (Woche 3–4)"
"C073","From Nothing Ep. 18 – Blank Terrace to Outdoor Bath","P3 Dream Builds","A blank terrace. By night, a bath under the sky.","Plain tiled terrace, figure carrying a towel","terrace_outdoor + bathroom","mountain (fictional)","warm_luxury","grey tile → travertine, brass, amber, stars","fixed angle, stages, final crane up to the stars","12-15","From Nothing · Ep. 18 · AI concept","Comment BATH for the similar tub list.","Wanne/Outdoor-'similar items' per DM (q02)","KI bathroom 1,45 (n=28), KI terrace 1,06 (n=26), KI stars 1,49 (n=14, low confidence) (04-DB)","Ende: Sterne vs. Blue Hour","B (Woche 3–4)"
"C074","From Nothing × Unbuilt No. 001 – Building the Spiral Tower","P3 Dream Builds","Remember the spiral tower? Here's how it would go up.","Empty valley with the tower's footprint glowing on the ground, figure at its center","stairs_hall + exterior_facade","mountain valley (fictional)","warm_luxury","series palette","fixed drone, construction stages, final crane rise","15-20","From Nothing × Unbuilt No. 001 · AI concept","Which Unbuilt should we build next?","Reichweite/Serienbindung; Higgsfield Earn oder Tool-Credit (als Werbung kennzeichnen – q03)","Serien-Crossover: YT-Transformation 1,15 (PROXY) + KI stairs 2,24 (n=16, 04-DB); architecture 57 % <180 Tage, neue Reels 1,53 (n=34, Digest-Freshness)","Crossover vs. Stand-alone (Follows pro 1.000 Views)","B (Woche 3–4)"
"C075","From Nothing – Lights On","P3 Dream Builds","Nothing changes except the lights. Watch the garden appear.","Pitch-dark garden; the first lantern switches on next to a figure","garden_landscape","none (fictional)","tropical + warm_luxury","black → amber lanterns, deep green, night blue","locked-off, lights switch on in sequence","8-12","From Nothing · Lights On · AI concept","Comment LIGHTS for the lantern list.","Gartenleuchten-'similar items' per DM (q02)","night_artificial 1,14 (n=387) vs. daylight = 1,21× n.s. (Digest Key contrasts); innerhalb Accounts dark +8 Pp und night +12 Pp in Top-10 % (Digest-Within)","Länge: 8 s vs. 12 s","A (Start, Woche 1–2)"
"C076","After Dark No. 01 – The Tower Wakes Up","P4 Night Stories","At 9 pm the tower wakes up, one floor at a time.","Dark spiral tower; the first floor lights up as a figure enters","stairs_hall + exterior_facade","mountain valley (fictional)","warm_luxury","travertine, amber windows, night blue","fixed wide, then slow rise following the lights","8-10","After Dark · AI concept","Which floor stays lit the longest?","Reichweite/Sends","KI night_artificial 1,27 (n=93, 04-DB); innerhalb Accounts night +12 Pp in Top-10 % (Digest-Within, 25 Accounts); KI stairs 2,24 (n=16)","Ende: Loop (Licht aus) vs. Rückfahrt","A (Start, Woche 1–2)"
"C077","After Dark No. 02 – Arriving by Boat","P4 Night Stories","The last boat of the night only goes to one house.","Small boat gliding across black water toward a glowing lagoon house; figure at the bow","exterior_facade","ocean_beach (fictional lagoon)","tropical + warm_luxury","black water, amber reflections, night blue","follow from behind the boat, slow","10-12","After Dark · AI concept","Who are you bringing? Send it to them.","Reichweite/Sends","KI ocean_beach 1,81 (n=26, 04-DB); KI mit Personen 1,68×, p≈0,02 (Digest Key contrasts); Sends als Top-Signal für Nicht-Follower (q09, sekundär VERIFIED); CTA save_share im Datensatz nur 0,75 (n=102, CTA-Kruskal n.s.) → Send-CTA nur als Test","CTA: Send vs. keine","A (Start, Woche 1–2)"
"C078","After Dark No. 03 – The Pool Above the City","P4 Night Stories","The city is loud. The pool is not.","Glowing pool on an impossible stone spire above city lights; lone swimmer","pool","city_skyline (fictional city)","futuristic + warm_luxury","amber stone, turquoise pool, city-light bokeh, night blue","slow drone drift past the pool edge revealing the city","8-10","After Dark · AI concept","Swim or just watch the city?","Reichweite","city_lights 1,09 (n=124), innerhalb Accounts city_lights +13 Pp, skyline +16 Pp (Digest-Within); aber KI city_skyline 0,77 (n=49, 04-DB), penthouse 0,57 (n=39) → unmögliche Hülle, kein Penthouse","Setting: Stadt vs. Berg bei gleicher Nacht","B (Woche 3–4)"
"C079","After Dark No. 04 – Reading Above the Clouds","P4 Night Stories","Everyone else is asleep. This lamp stays on.","Single warm window high above a sea of clouds, figure silhouette reading inside","other (tower room)","space_sky / above clouds (fictional)","mid_century + warm_luxury","brass lamp amber, cloud white, deep night blue, stars","slow push toward the lit room, stops outside","7-9","After Dark · AI concept","What are you reading up here?","Reichweite; Leuchten-'similar items' (q02)","space_sky 2,64 (n=12, low confidence, Digest-Segment); KI night 1,27 (n=93, 04-DB); YT-Proxy 6–8 s / 9–12 s über Kanal-Median (n=5 / n=11, nur 1 bzw. 4 Kanäle, kleine n, konfundiert)","Länge: 7 s vs. 12 s","B (Woche 3–4)"
"C080","After Dark No. 05 – The Midnight Dock Bath","P4 Night Stories","A bath at the end of a dock. Midnight. Nobody else on the lake.","Warm-lit stone tub at the end of a timber dock over black water; figure's shoulders above the rim","bathroom","lake_river (fictional)","warm_luxury","travertine, amber, black water, star-lit blue","slow dolly along the dock toward the tub","8-10","After Dark · AI concept","How long would you stay in?","Bad-'similar items' (q02)","KI bathroom 1,45 (n=28), KI night 1,27 (n=93) (04-DB); lake_river 1,02 (n=60, Digest-Segment), KI lake_river nur 0,69 (n=13, low confidence) → Setting testen","Audio: Natur-Ambient vs. Musik","B (Woche 3–4)"
"C081","After Dark No. 06 – Lights Out, Room by Room","P4 Night Stories","The house goes to sleep, one room at a time.","Warm-lit impossible house; the first room's lamp clicks off as a figure walks on","mixed (walk-through) + terrace_outdoor","mountain (fictional)","warm_luxury","amber → night blue","one continuous slow glide through the rooms, ends on the terrace under stars","10-15","After Dark · AI concept","Which room would you turn off last?","Reichweite","innerhalb Accounts dark +8 Pp, night +12 Pp in Top-10 % (Digest-Within); YT-Proxy wenig Bildwechsel 1,67 vs. viele Schnitte 0,40 (je n=73, konfundiert, Digest-YT)","Kamera: One-Take-Glide vs. 3 Einstellungen","B (Woche 3–4)"
"C082","After Dark No. 07 – The Secret Garden Downtown","P4 Night Stories","Behind one apartment door downtown: a full garden, lit at night.","Plain city corridor door opening onto a lush glowing indoor garden; figure stepping in","garden_landscape + living_room","city_skyline (fictional city)","tropical + warm_luxury","green, amber, brass, city-light blue","follow through the door, slow push","8-12","After Dark · AI concept","Would you give up a bedroom for this?","Pflanzen/Leuchten-'similar items' (q02)","KI garden 1,61 (n=43, 04-DB); Cover door_or_threshold 0,97 (n=242), innerhalb Accounts +4 Pp (Digest-Within; Top-10 % = 28 Reels, kleine n); city_lights 1,09 (n=124)","Frame 1: Tür vs. Garten","B (Woche 3–4)"
