shortcode,handle,meta_status,visual_status,media_type,followers_text,followers_at_fetch,posts_at_fetch,likes,comments,caption_len,caption_hashtags,caption_has_question,caption_emojis,caption_mentions,caption_link_hint,caption_comment_cta,caption,coder,source_file,room_primary,building_type,landscape,style_primary,style_secondary,palette_temp,brightness,lighting,view_through_window,people_present,cover_text,realism,production,production_evidence,shoppability,visual_quality,notable,caption_hook_category,caption_first_line,cta_type,location_claimed,price_claimed,ai_disclosed,account_kind_hint,language,rooms_visible,dominant_colors,materials,ambience_fx,cover_hooks
Dain7u4qfku,mona.co98000,ok,ok,reel,624K followers,624000,3522,122094,126,19,2,False,0,0,False,False,#monaco #montecarlo,cover-v2-embed,cover_r01_013.json,none_person_only,none_visible,none,classical_luxury,,warm,medium,daylight,False,True,,real_existing,real_footage,"candid street footage of real people (tattooed man, uniformed doorman) in front of an ornate facade",low,medium,"Candid people-spotting shot of a tattooed man in a black shirt arriving past a uniformed doorman at an ornate Monaco building; person-focused, no interior shown.",location,#monaco #montecarlo,none,Monaco / Monte Carlo,,False,theme_page,other,exterior_facade,black;white;beige,plaster;metal;fabric;leather,none,person
CeyfmVLgFnR,life_of_fab27,ok,ok,reel,422K followers,422000,528,87527,464,481,28,True,2,0,False,True,Chalet in the Swissalps🇨🇭 Would you like to live here?😍 Have a wonderful day everyone 👌 . . . . #swisschalet #cabinlove #swiss #switzerland #myswitzerland #vacation #loveswitzerland #swissxplorers #myswisspanorama #amazingswitzerland #ineedswitzerland #earthfocus #wonderful_places #schweiz #brienz #suisse #isviçre #zwitserland #tlpicks #ferieninderschweiz #swisstourism #switzerlandpictures #meineschweiz #beautifuldestinations #swissmyworld #nature #cabinporn #videooftheday #🇨🇭,cover-v2-embed,cover_r01_013.json,exterior_facade,cabin_chalet,mountain,traditional_regional,rustic_cozy,warm,bright,daylight,False,True,,real_existing,real_footage,"real village street footage with a pedestrian in the distance, real cobblestones and drains, natural sunlight",low,high,"Sunny cobblestone lane lined with dark-timber Swiss chalets and red geranium flower boxes, framed by a green mountain backdrop.",location,Chalet in the Swissalps🇨🇭,question_engagement,"Swiss Alps, Switzerland (#brienz)",,False,lifestyle_influencer,en,exterior_facade,brown;grey;green;blue,wood;natural_stone;plaster;plants,none,exterior_reveal
DauWTkrSznf,mike.tokyohousing,ok,ok,reel,89K followers,89000,299,76499,1318,360,5,False,0,0,False,False,"For rent! Not available anymore! Inquire through the links on our bio! Add us on LINE for easier communication!  Apartment details 3 LDK | 3 bedroom 244sqm | 2,626 sqft 3 bath / 3 toilet Roof balcony  Monthly rent: ¥1,700,000  Pet allowed, Oven, Island kitchen, Floor heating, Garage  #tokyorealestate #tokyolife #japanrealestate #tokyohousing #realestatejapan",cover-v2-embed,cover_r01_013.json,exterior_facade,apartment,none,minimalist,biophilic,neutral,bright,daylight,False,False,,real_existing,real_footage,wide-angle real-estate footage of a real Tokyo street with overhead utility wires and road markings; caption is a rental listing,low,high,"Symmetrical street-front view of a dark metal-clad, concrete-based Tokyo residence with a lit entrance tunnel and lush planting spilling from its terraces.",promotional,For rent! Not available anymore!,link_in_bio,"Tokyo, Japan","Monthly rent: ¥1,700,000",False,real_estate,en,exterior_facade;garden_landscape;lobby_common,brown;grey;green;blue,metal;concrete;glass;plants;natural_stone,none,exterior_reveal;door_or_threshold
DLJlRnaRZ4G,ksimbuilds,ok,ok,reel,11K followers,11000,590,458,19,222,15,False,6,0,False,False,Santorini Villa ✈️🌊 full video on my bio 🎥 #thesims4 #sims4builds #sims4creations #sims4house #sims4architecture #ts4 #sims4interior #cozy #sims4exterior #showusyourbuilds #fyp #fypシ❤️💞❤️ #santorini #greece #santorinivilla,cover-v2-embed,cover_r01_013.json,exterior_facade,villa,ocean_beach,mediterranean,,cool,bright,daylight,False,False,SANTORINI VILLA / yt: @youraveragenoob,stylized_dreamy,3d_render,The Sims 4 build (caption hashtags #thesims4 #sims4builds); game-engine render look with uniform foliage and hazy flat sky,low,medium,"Sims 4 game build of a whitewashed Santorini-style villa with a blue dome on a rocky seaside plot, titled 'SANTORINI VILLA' with a YouTube handle credit.",location,Santorini Villa ✈️🌊 full video on my bio 🎥 #thesims4 #sims4builds #sims4creations #sims4house #sims4architecture #ts4 #s,link_in_bio,"Santorini, Greece",,False,other,en,exterior_facade;terrace_outdoor;garden_landscape,white;blue;green;beige,plaster;natural_stone;plants;water;fabric,none,text_overlay;exterior_reveal
DLFA7A7IL98,dimensionsibiza,ok,ok,reel,16K followers,16000,80,2352,13,222,10,False,0,1,False,False,"Unique villa with breathtaking sea views- it's not a dream, it's called Ibiza. DM for information. @alexcaballerooo #luxuryvilla #ibiza #concierge #realestate #beautiful #seaview #property #luxurylifestyle #vacation #villa",cover-v2-embed,cover_r01_013.json,living_room,villa,ocean_beach,modern_luxury,minimalist,cool,bright,daylight,True,False,,real_existing,real_footage,"phone footage shot from a mezzanine through real glazing with reflections, sun glare on the sea and natural shadows",medium,high,Looking down from a double-height gallery through floor-to-ceiling glass at a lounge terrace and a rugged Ibiza cove with breaking waves.,aspirational,"Unique villa with breathtaking sea views- it's not a dream, it's called Ibiza. DM for information. @alexcaballerooo #lux",dm,Ibiza,,False,real_estate,en,living_room;terrace_outdoor,blue;white;beige;turquoise,glass;wood;metal;plants;fabric;water,ocean_waves,view_reveal
DDFPnBypxJd,seeitalytravel,ok,ok,reel,23K followers,23000,2961,540,,1027,0,False,2,0,True,False,"Villa Balbiano on Lake Como 😍  Situated on the western shore of Lake Como, Villa Balbiano is an awe-inspiring Italian jewel, an exceptional historical palazzo that once belonged to the famous Cardinal Tolomeo Gallio, who built it at the end of the 16th century and used it as his main residence.  A century later, it was enlarged and embellished by Cardinal Angelo Maria Durini who used the villa to host a gallant and frivolous society where festivals, banquets, and dances followed one another.  Nowadays, Villa Balbiano is the largest private residence on the lake, with extensive gardens and beautiful interiors. ⁣ Every trip means different emotions, and we aim to give the most complete Italian travel experience through a tailor-made trip according to your preferences.⁣ ⁣ We invite you to unlock an exclusive side of Italy through our insider connections and local experts throughout the country.⁣ ⁣ Tap the link in bio to learn more about your own custom itinerary with tailored experiences in your dream locations.⁣ ✨",cover-v2-embed,cover_r01_013.json,exterior_facade,castle_palace,lake_river,classical_luxury,traditional_regional,cool,bright,daylight,False,False,"Villa Balbiano, Lake Como",real_existing,real_footage,"drone aerial of a real, named historic villa (Villa Balbiano) with natural lake and town backdrop",low,high,"Symmetrical drone shot of a cream Renaissance palazzo framed by cypress rows and a formal garden cascade, with Lake Como filling the frame behind it.",location,Villa Balbiano on Lake Como 😍,link_in_bio,"Villa Balbiano, Lake Como, Italy",,False,other,en,exterior_facade;garden_landscape,blue;green;beige;terracotta,plaster;natural_stone;plants;water;metal,none,text_overlay;exterior_reveal;water_feature;dramatic_scale
DZLxxfRBcJ_,niceplacela,ok,ok,reel,2K followers,2000,21,2507,16,1449,5,False,0,0,False,False,"Positioned directly along one of Malibu's most sought-after stretches of sand, this fully renovated beachfront residence pairs approximately 50 feet of ocean frontage with a feature rarely found on the coastline: a private pool overlooking the Pacific.  Completed after a four-year renovation taken fully to the studs, the home was redesigned around openness, natural light, and continuous connection to the water. Walls of glass frame panoramic ocean views throughout nearly 3,000 square feet of interior living space, while expansive beachfront decks extend directly toward the sand below.  The interiors maintain the relaxed scale of a traditional Malibu beach house while introducing a more refined coastal material palette, offered fully furnished with pieces by Jenni Kayne. Four bedrooms and five bathrooms are distributed across a layout designed equally for quiet daily living and large gatherings along the water.  Just moments from Geoffrey's Malibu and Paradise Cove, the property captures a version of beachfront living that has become increasingly difficult to find along the California coast.  4 BED | 5 BATH | 2,976 SF HOME  Offered at $14,500,000.  Message us with any inquiries.  Listed by Jeffrey Chertow and Michal Julia Rouse.  #malibu #escondidobeach #poolhouse #malibubeach #oceanfront beachfront beachhouse maliburealestate coastalliving luxuryrealestate architecture interiordesign pacificocean moderncoastal californiacoast",cover-v2-embed,cover_r01_013.json,living_room,house,ocean_beach,organic_modern,minimalist,neutral,bright,daylight,True,False,Somewhere in Malibu / 2:28 P.M.,real_existing,real_footage,real listing footage with natural haze and breaking surf through the window; caption is an MLS-style listing with agents named,high,high,"Calm living room with a boucle armchair and round oak coffee table facing a huge picture window of breaking Pacific surf, captioned like a diary entry 'Somewhere in Malibu 2:28 P.M.'",descriptive,"Positioned directly along one of Malibu's most sought-after stretches of sand, this fully renovated beachfront residence",dm,"Malibu, California (Escondido Beach)","$14,500,000",False,real_estate,en,living_room;terrace_outdoor,white;beige;blue;brown,wood;glass;fabric;water,ocean_waves,text_overlay;view_reveal
DMvWBwqpBgt,mccleandesign,ok,ok,reel,332K followers,332000,3289,1643,34,729,8,False,0,0,False,False,"HILLCREST II - Beverly Hills, CA  Towering above Los Angeles on the iconic ""Billionaire's Row,"" Hillcrest II is a masterclass in contemporary grandeur. Designed to capture unobstructed jetliner views from Downtown to the Pacific, this architectural showpiece offers unparalleled scale and sophistication.  The estate features dual pools, a dramatic sky bridge, a Cristal champagne vault, a glass-enclosed dining room with a 20-foot waterfall, a private cinema, a world-class wellness center, Savant home automation, and a 10-car auto gallery — all curated for the most discerning lifestyle.  #HillcrestII #BillionairesRow #ArchitecturalEstate #LuxuryRealEstate #JetlinerViews #ModernMasterpiece #BeverlyHillsLuxury #McCleanDesign",cover-v2-embed,cover_r01_013.json,exterior_facade,mansion,mountain,modern_luxury,minimalist,cool,bright,golden_hour,False,False,,real_existing,real_footage,"drone aerial of a named real estate (Hillcrest II, Beverly Hills) with real surrounding neighborhood; strong HDR grading",low,high,Drone view of a flat-roofed white-marble hilltop mansion with a long infinity pool perched on a grassy ridge under a cloudless deep-blue sky.,location,"HILLCREST II - Beverly Hills, CA",none,"Beverly Hills, CA (Billionaire's Row)",,False,designer_studio,en,exterior_facade;pool;terrace_outdoor;living_room;bedroom,blue;green;white;beige,marble;glass;water;plants;metal,none,exterior_reveal;pool;dramatic_scale
DMkljD9SygQ,thetrillionairelife,ok,ok,reel,13M followers,13000000,11651,45495,172,88,3,True,1,0,False,False,Where do you think this Mansion is—Miami or Dubai? 🏡  #mansion #architecture #realestate,cover-v2-embed,cover_r01_014.json,exterior_facade,mansion,none,mediterranean,classical_luxury,warm,medium,golden_hour,False,False,Bro thinks he’s in a Netflix original 🏡,real_existing,real_footage,drive-by phone footage with motion-blurred foreground pavement and natural sunset sky,low,medium,"Drive-by shot of a gated white tile-roofed mansion with palm trees at sunset, framed by a meme-style 'Netflix original' text overlay.",question,Where do you think this Mansion is—Miami or Dubai? 🏡,question_engagement,"Miami or Dubai (posed as a question, not claimed)",,False,theme_page,en,exterior_facade,white;grey;orange;blue,plaster;metal;plants,none,text_overlay;exterior_reveal
DWCLr8OjLVR,allwithfash,ok,ok,reel,13K followers,13000,464,,45,761,0,False,5,0,False,False,"Amalfi Coast guide 🍋🇮🇹 📌 Save this for your next trip  ☀️ What to do: • Positano for chic beach clubs, pastel houses, and shopping • Amalfi for cathedral views, seaside strolls, and all the lemon treats • Atrani for a peaceful village moment away from the crowds • Ravello for iconic gardens and panoramic terraces at Villa Cimbrone and Villa Rufolo • Take a boat day, because the Amalfi Coast looks even better from the water • Hike the Path of the Gods for unreal panoramic views • Stop at Fiordo di Furore, one of the most iconic spots on the coast  🍝 Where to eat: • La Sponda • Da Adolfo • Chez Black • Da Gemma • Marina Grande  🛎️ Where to stay: • Miramalfi • Hotel Poseidon Positano • Ravello Art Hotel Marmorata • Borgo Santandrea • Hotel Santa Caterina",cover-v2-embed,cover_r01_014.json,terrace_outdoor,villa,ocean_beach,mediterranean,classical_luxury,cool,bright,daylight,False,False,,real_existing,real_footage,"real photo/footage of weathered stone, marble bust and bougainvillea over choppy sea; slightly over-sharpened repost look",low,high,"Cliffside Amalfi terrace with a marble bust, terracotta planters and cascading bougainvillea hanging over a sparkling deep-blue sea - postcard-grade scenic hook.",instructional,Amalfi Coast guide 🍋🇮🇹,save_share,"Amalfi Coast, Italy",,False,lifestyle_influencer,en,terrace_outdoor;exterior_facade,blue;white;pink;terracotta,natural_stone;plaster;metal;plants,ocean_waves,exterior_reveal;view_reveal
DdmOoGnzNtK,yulayeloficial,ok,ok,reel,320K followers,320000,1027,13362,1412,46,2,False,0,0,False,False,Ya nadie quiere visitar tulum #yulay #mexico🇲🇽,cover-v2-embed,cover_r01_014.json,terrace_outdoor,hotel_resort,none,other,,neutral,medium,overcast_rain,False,True,"LA VERDAD DE TULUM🤬
YA NADIE QUIERE VISITAR LAS PLAYAS DE TULUM 💔",real_existing,real_footage,handheld selfie vlog frame with TikTok-style boxed headline text and black letterbox bars,low,low,"Vlogger selfie pointing at a deserted, leaf-strewn Tulum beach venue under rage-bait headline text - news/contrarian hook, not decor.",contrarian,Ya nadie quiere visitar tulum #yulay #mexico🇲🇽,none,"Tulum, Mexico",,False,lifestyle_influencer,es,terrace_outdoor;exterior_facade,black;white;beige;red,concrete;plaster;plants,none,text_overlay;person;empty_room
DdbDmppovOA,columbine_cornwebb,ok,ok,reel,43K followers,43000,855,959,23,39,5,False,0,0,False,False,#foryou #greece #mykonos #natural #chef,cover-v2-embed,cover_r01_014.json,none_person_only,none_visible,none,other,,warm,bright,daylight,False,True,Πάμε λίγο 12κς σε λέω!!!,real_existing,real_footage,handheld phone selfie footage of a real person in daylight against a plain wall,low,medium,"Creator with arms raised dancing against a plain cream wall under Greek slang text - personality content, no interior or architecture shown.",none,#foryou #greece #mykonos #natural #chef,none,"Mykonos, Greece (hashtags)",,False,lifestyle_influencer,en,,white;beige;black;blue,plaster;fabric,none,text_overlay;person
Da6Yo6Ah4HZ,lauraingraham,removed,no_cover,unknown,,,,,,0,0,False,0,0,False,False,,cover-v2-embed,cover_r01_014.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXCKPemDEwr,muizza_here,ok,ok,reel,19K followers,19000,347,114104,581,99,5,False,1,0,False,False,"Save for later  📍Aseer Region, Saudi Arabia  #abha #honeyrefinery #rijalalma #alsoudha #saudiarabia",cover-v2-embed,cover_r01_014.json,exterior_facade,house,mountain,traditional_regional,,warm,bright,daylight,False,True,No one believed when I said THIS IS SAUDI ARABIA,real_existing,real_footage,real daylight footage of a real heritage village with small visitors in frame and creator watermark 'muizza_here',low,high,"Multi-storey stone tower houses with white-trimmed windows against a green mountain, overlaid with 'THIS IS SAUDI ARABIA' surprise framing.",instructional,Save for later,save_share,"Aseer Region, Saudi Arabia",,False,lifestyle_influencer,en,exterior_facade,brown;blue;white;green,natural_stone;wood;plants,none,text_overlay;exterior_reveal;unusual_architecture
DW3yxdyiEWU,charlottejaynewalton,ok,ok,reel,27K followers,27000,1329,,22,1183,5,False,3,1,False,False,"Save this Riad in Marrakech 🇲🇦  If you're visiting Marrakech, this is a great place to stay. From the moment we arrived, the staff were incredibly helpful and took the time to explain the city, what to visit, and things to be aware of, which made settling in so much easier.  We stayed in a top floor room that was spacious, bright, and very comfortable. The Riad itself is beautifully designed with multiple chill areas, a small pool, a rooftop, and a terrace, so there's always somewhere to relax after exploring the city.  📍 Location is great. It's only a few minutes walk to the start of the souks, but also close enough to a main road for easy taxi drop-off, which is really useful in Marrakech.  Breakfast is served on the rooftop terrace and includes eggs, fresh fruit, yoghurt, breads, and mint tea.  It's also surprisingly quiet and peaceful, which you really appreciate after a busy day in the medina.  Definitely recommend saving this for your trip!  📍Le Minaret & SPA  ➡️ Follow @charlottejaynewalton for more travel destinations and tips!  #marrakech #marrakechriad #riad #riadmarrakech #travelguide  Where to stay in Marrakech | hotels in Marrakech | Riads in Marrakech",cover-v2-embed,cover_r01_014.json,lobby_common,hotel_resort,none,traditional_regional,,warm,bright,daylight,False,True,Save this Riad in Marrakech...,real_existing,real_footage,professional camera photo of a real riad courtyard with shallow depth of field and a posted safety notice on the pillar,medium,high,"Creator posing under a carved white Moorish arch with a brass lantern beside a green zellige plunge pool, with 'Save this Riad' text - classic travel save-bait.",location,Save this Riad in Marrakech 🇲🇦,save_share,"Le Minaret & SPA, Marrakech, Morocco",,False,lifestyle_influencer,en,lobby_common;pool,white;green;beige;brown,plaster;metal;water;plants;fabric,none,text_overlay;person;pool;door_or_threshold
DW6YVcjI2RC,catharinaelisabethx,ok,ok,reel,477K followers,477000,257,6087,61,106,5,False,0,0,False,False,Modern hotels could never compete with this  #classystyle #oldmoneyaesthetic #hotels #prstay #eleganthotel,cover-v2-embed,cover_r01_014.json,stairs_hall,castle_palace,none,classical_luxury,neoclassical,warm,medium,daylight,False,True,Pov: your hotel used to be a palace,real_existing,real_footage,real footage of a real palace staircase with a person walking; natural perspective and compression artifacts,low,high,"Woman in a white suit ascending a red-carpeted imperial marble staircase beneath a royal portrait and statue niche, with a POV 'hotel used to be a palace' line - old-money fantasy.",contrarian,Modern hotels could never compete with this,none,,,False,lifestyle_influencer,en,stairs_hall,red;beige;gold;white,marble;natural_stone;fabric;metal,none,text_overlay;person;dramatic_scale
DW9FA90C3fn,jiavisuals.ae,ok,ok,reel,5K followers,5000,281,162994,349,367,0,False,0,4,False,False,"The only reason I work hard is so my holidays can look like this:  Hotels featured:  @oberoiamarvilas @babalshamshotel @thechedimuscat @ooroyalmirage  • Luxury travel, luxury hotels, luxury hotels Dubai, luxury staycation, world's best hotels, luxury travel destinations, travel content creator, luxury travel content creator, Dubai luxury lifestyle, luxury lifestyle",cover-v2-embed,cover_r01_014.json,pool,hotel_resort,none,traditional_regional,warm_luxury,warm,medium,mixed,False,False,"Unfortunately I have to work, because this is my taste in hotels:",real_existing,real_footage,real dusk footage with lit lanterns reflected in a pebble-bottomed pool; natural sensor softness,low,high,"Serene dusk shot of sand-coloured desert-style resort blocks and palms mirrored in a pebble pool with glowing lanterns, paired with relatable 'I have to work' aspiration text.",aspirational,The only reason I work hard is so my holidays can look like this:,none,"Dubai (caption keywords); hotels tagged @oberoiamarvilas, @babalshamshotel, @thechedimuscat, @ooroyalmirage",,False,lifestyle_influencer,en,pool;exterior_facade;garden_landscape,beige;green;grey;orange,plaster;water;plants;natural_stone,none,text_overlay;pool;water_feature;exterior_reveal
DUEfg60iJq5,learn,ok,ok,reel,4M followers,4000000,20231,28,,294,0,True,1,2,False,False,"Luxury Hotel Room with Panoramic Dubai Skyline View 🎥 @shamarmarcus  Interested in travel? @lost_in_travel is your go-to for in-the-know spots, locals-only experiences, and exclusive finds that savvy travelers crave. Skip the tourist traps and follow along to explore the world like an insider.",cover-v2-embed,cover_r01_014.json,hotel_room,hotel_resort,none,modern_luxury,,neutral,medium,mixed,False,False,,real_existing,real_footage,handheld phone footage of a real hotel room with lit bedside sconce and a water bottle on the nightstand,medium,medium,Plain phone peek past a doorframe at a grey-panelled hotel nightstand and lit sconce - an understated opener that withholds the promised skyline view.,descriptive,Luxury Hotel Room with Panoramic Dubai Skyline View,follow,Dubai,,False,media_publication,en,hotel_room,grey;white;beige;black,wood;fabric;metal,none,door_or_threshold
DIwHwmlyf7P,andronis_hotels,ok,ok,reel,22K followers,22000,983,216,5,118,3,False,0,0,False,False,Caldera views. Boutique bliss. Only at Andronis Boutique Hotel. #AndronisBoutiqueHotel #OiaDreaming #LuxuryInSantorini,cover-v2-embed,cover_r01_014.json,pool,hotel_resort,none,mediterranean,organic_modern,neutral,bright,daylight,False,True,,real_existing,real_footage,"real drone footage of a real hotel with a swimmer, staff and loungers in natural sunlight",low,high,Top-down drone view of stacked whitewashed Cycladic suites and turquoise plunge pools with a swimmer on a gold ring - immaculate brand showcase.,promotional,Caldera views. Boutique bliss. Only at Andronis Boutique Hotel. #AndronisBoutiqueHotel #OiaDreaming #LuxuryInSantorini,none,"Andronis Boutique Hotel, Oia, Santorini",,False,other,en,pool;terrace_outdoor;exterior_facade,white;blue;brown;beige,plaster;water;wood;fabric;plants,none,pool;exterior_reveal;person
Ca4-MsKpA1D,worldtraveladventurers,ok,ok,reel,216K followers,216000,2408,130312,1280,911,25,True,0,1,False,True,"The Muraka is the most unique hotel villa we've ever seen, submersed 16 feet under the Indian Ocean at the @conrad_maldives!  Imagine lying in bed while sharks, stingrays and fish swim above your head. Think of what it would be like to take a shower while being entertained by the underwater world around you.  Save this post for your travel bucket list if this is something you'd like to experience someday & share with someone you'd bring here!  How would you feel sleeping underwater?  #worldtraveladventurers #underwaterhotel #conradmaldives #luxuryvilla #luxurytraveler #luxuryhotel #travelbucketlist #bucketlisttravel #uniquehotels #maldivesresort #maldivesvacation #maldivestrip #maldivestravel #conradmaldivesrangaliisland #themuraka #luxurytravelblogger #luxurytravelinfluencers #shetravelsluxe #luxurytraveller #luxuryvacation #travelluxe #luxetravel #underwaterlife #luxuryfamilytravel #luxurytravels",cover-v2-embed,cover_r01_014.json,hotel_room,unusual_structure,underwater,futuristic,modern_luxury,cool,medium,daylight,True,True,The most unique hotel villa in the world!,real_existing,real_footage,real phone photo of the actual underwater villa with caustic light on floor and reflections of the photographer in the glass,low,high,Woman in a robe framed in a doorway leading into an acrylic-domed underwater bedroom bathed in ocean-blue light - a genuinely unusual real-world 'wow' space.,curiosity,"The Muraka is the most unique hotel villa we've ever seen, submersed 16 feet under the Indian Ocean at the @conrad_maldi",save_share,"The Muraka, Conrad Maldives, Indian Ocean (Maldives)",,False,lifestyle_influencer,en,hotel_room;stairs_hall,blue;black;white;green,glass;metal;marble;water;fabric,none,text_overlay;person;door_or_threshold;unusual_architecture;view_reveal;bed_focus
DFCG_ZISb6o,sembler8,ok,ok,reel,314K followers,314000,1044,95368,533,69,0,True,1,0,False,True,Would you like to be in this fairy tale? This is my favorite AirBnb 😱,cover-v2-embed,cover_r01_015.json,exterior_facade,unusual_structure,jungle_tropical,tropical,organic_modern,warm,medium,mixed,False,True,,real_existing,real_footage,real camera footage with wide-angle distortion and motion blur of a running woman; natural overcast light,low,high,"Woman in a flowing red dress runs barefoot over stepping stones toward a glowing bamboo pod house on stilts in dense jungle, string lights on.",question,Would you like to be in this fairy tale? This is my favorite AirBnb 😱,question_engagement,,,False,lifestyle_influencer,en,exterior_facade;garden_landscape;terrace_outdoor,green;brown;red;grey,wood;glass;natural_stone;plants;fabric,none,person;exterior_reveal;unusual_architecture
DSkKH8MDKMq,selahridgeresort,ok,ok,reel,119K followers,119000,811,157716,3995,100,0,False,1,0,False,True,"A treehouse built for complete reset and relaxation 🌿 ㅤ Comment ""TREEHOUSE"" to book your stay today!",cover-v2-embed,cover_r01_015.json,terrace_outdoor,treehouse,forest,rustic_cozy,,warm,medium,daylight,False,True,,real_existing,real_footage,"real photographic frame of a couple in a wooden barrel hot tub, natural sun rays and foliage detail",low,high,Rope-railed wooden walkway leads through a sunlit tree canopy to a cedar barrel hot tub with a couple inside.,aspirational,A treehouse built for complete reset and relaxation 🌿,comment_keyword,,,False,other,en,terrace_outdoor,green;brown;beige;white,wood;water;plants;metal;fabric,none,person;water_feature
DOiV8ucDaFB,wishcraft_africa,ok,ok,reel,68K followers,68000,325,1231,35,1027,25,False,2,1,False,False,"Project: 44 Bedrooms hotel. Location: 📍Benin City, Edo state, Nigeria. 🇳🇬🇬🇭🇿🇦🇱🇷🇷🇼🇰🇪 Area of plot: 6,197,000m² Footprint of building: 853.389m² Designed & Visualised [@wishcraft_africa] 🎨 Features; - GROUND FLOOR; •Entrance. •Reception Lounge/Reception. •Lifts & Staircase •Restaurants •Lettable offices/shops •Cloakroom lounge •Kitchen •Pantry •Servery •150 seater Event Hall •Laundry •Gym •Staircases & Lift •Management office •5Bedrooms •Restrooms - FIRST FLOOR; •Staircases •Lifts •14nos Bedrooms •Waiting lounge - SECOND FLOOR; •Staircases •Lifts •14nos Bedrooms •Waiting Lounge - THIRD FLOOR; •Staircases •Lifts •11nos Bedrooms •Waiting lounge •Terrace Bar/Store/restroom We #Design, #renovate, #Visualise, #Build & #furnish. Tell potential #boutiquehotels #Hotel #benincity #estatedevelopers #luxuryproperties #luxuryhomes #realestatedeveloper #terracehouse #terraceapartments #naijahomes #madefornaija #lagos #abuja #portharcourt #luxurymaison #lagosmaisonette #design #architecturedesign #architecture #luxuryproperties",cover-v2-embed,cover_r01_015.json,pool,hotel_resort,none,modern_luxury,,cool,bright,overcast_rain,False,False,,aspirational_realistic,3d_render,"caption says 'Designed & Visualised'; flat CG lighting, repeated render-library plants and chairs",low,medium,"Render of a white-and-grey multi-storey hotel behind a lagoon-style pool with planted island decks and pergolas, seen from a poolside table.",descriptive,"Project: 44 Bedrooms hotel. Location: 📍Benin City, Edo state, Nigeria.",save_share,"Benin City, Edo state, Nigeria",,False,designer_studio,en,pool;terrace_outdoor;exterior_facade,white;blue;grey;green,glass;metal;water;plants;wood;plaster,none,pool;exterior_reveal
DV0xcjvjC-w,fahedz90,ok,ok,reel,487K followers,487000,1520,,254,97,5,True,1,0,False,False,What's the most luxurious suite you've ever stayed in? 👇 .. #suites #resort #hotel #luxury #hotel,cover-v2-embed,cover_r01_015.json,hotel_room,hotel_resort,city_skyline,futuristic,modern_luxury,cool,medium,mixed,True,True,POV: The world's most luxurious suite,real_existing,real_footage,"real phone footage of a person inside an actual hotel suite, natural daylight from windows",low,medium,"POV overlay 'The world's most luxurious suite' frames a round bed under a giant glossy black sculptural canopy, purple carpet and a double-height ring of skyline windows with a man in the back.",question,What's the most luxurious suite you've ever stayed in? 👇,question_engagement,,,False,lifestyle_influencer,en,hotel_room;bedroom;living_room,white;purple;black;grey,glass;fabric;plaster,none,text_overlay;bed_focus;person;view_reveal;dramatic_scale
DLnHmVNympx,ant.archviz,ok,ok,reel,214K followers,214000,191,11115,220,857,29,True,2,2,True,False,"If only clients knew the process 💀  Every pixel, every shadow, every tweak takes time. What you see in 15 seconds often takes hours of trial, error, and quiet obsession. Behind every beautiful render is someone who didn't give up after the first draft. Keep building, keep refining — mastery is in the details.  🚀 Want to learn how I do it? Full tutorials & scenes in the link in bio. . . . . . . . . . . #D5 #D5render #D5rendering #3DVisualization #ArchitecturalRendering #RealEstateMarketing #3DRender #ArchitectureLovers #InteriorDesign #RenderingServices #CGI #ArchViz #ArchitectureDaily #DesignInspiration #PropertyMarketing #RenderLovers #ModernArchitecture #3DArtist #Visualization #RenderingLife #ExteriorDesign #InteriorRender #ArchitecturalDesign #DigitalRendering #RealEstateSales #SketchUp #D5Render #RenderArtist #cgtop @d5renderofficial @cgtop",cover-v2-embed,cover_r01_015.json,exterior_facade,apartment,none,modern_luxury,,cool,medium,blue_hour,False,True,,aspirational_realistic,3d_render,caption tags D5 render / ArchViz; clean CG dusk render with entourage cars and tiny figures,low,high,Photoreal dusk render of a rounded mid-rise with blue vertical fins and glowing amber interiors mirrored on a wet street.,curiosity,If only clients knew the process 💀,link_in_bio,,,False,designer_studio,en,exterior_facade,blue;orange;grey;black,glass;metal;concrete;plants,city_lights,exterior_reveal
