handle,url,plattform,nische_cluster,unter_nische,land_sprache,account_alter_oder_start,erstes_sichtbares_posting,start_datenqualitaet,follower_heute,follower_heute_datum,follower_heute_dq,follower_vor_30d,follower_vor_60d,follower_vor_90d,follower_vor_120d,follower_historie_quelle,follower_historie_dq,posts,posts_dq,posts_pro_woche,median_reel_views,median_dq,top_reel_url,top_reel_views,top_reel_datum,top5_reels,top_reels_dq,anzahl_reels_ueber_1m_bekannt,engagement_hinweis,ai_status,ai_beleg,ai_tools,klasse,emerging_outlier,affiliate_oder_monetarisierung_sichtbar,link_in_bio,quelle_urls,pruefdatum,notizen
@not_your_basic_build,https://www.instagram.com/not_your_basic_build/,Instagram,AI Homes / House Build Timelapse,"AI-Timelapse-Builds: Cliffside-Häuser, Underground-Villen, Tier-Pools",EN/DE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,74 (Snippet alici.ai),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,"Profilname 'Vukovic | AI Builds'; Creator-Website vukovic.ink: 'first in the AI Timelapse Building niche', verkauft AI-Timelapse-Guides",nicht genannt (Guide spricht generisch von AI-Generatoren),Kandidat C/D (Posts <100 belegt; IG-Follower UNKNOWN),nein/unbekannt,"JA: eigene Info-Produkte – Starter Guide 9,99 €, Pro Max Guide 24,99 €, Mentoring 199,99 € (vukovic.ink); '1K+ guides sold' SELF-REPORTED",https://vukovic.ink,https://www.instagram.com/not_your_basic_build/?hl=en | https://vukovic.ink/ | https://alici.ai/formulas/creators/not-your-basic-build (Snippet) | https://www.tiktok.com/@vukovic_vlad,2026-09-26,"Selbe Person wie YouTube 'Bau Rausch' (DE) und TikTok @vukovic_vlad (1,47 Mio Follower). Cross-Plattform-Claim '4M+ followers, 1B+ views' SELF-REPORTED."
@bau_rausch_,https://www.instagram.com/bau_rausch_/,Instagram,AI Homes / House Build Timelapse,AI-Bau-Timelapses (Instagram-Ableger der YouTube-Marke Bau Rausch),DE/EN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,"Namensgleich mit YouTube 'Bau Rausch', dessen Videos AI-Disclaimer tragen ('generated entirely using artificial intelligence'); IG-Zugehörigkeit zum Creator nicht direkt belegt",UNKNOWN,UNKNOWN (IG-Daten fehlen),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/bau_rausch_/ | https://www.youtube.com/@BauRausch,2026-09-26,Kontext-Beispiel der früheren Studie; Instagram-Zahlen nicht abrufbar. Siehe YouTube-Zeile Bau Rausch.
@rescapeai,https://www.instagram.com/rescapeai/,Instagram,AI Garden / Backyard,AI-Gartendesign-App,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,123,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,14,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,"Profil 'Rescape AI Garden Design', Preis ab 7,49 $",UNKNOWN,keine,nein/unbekannt,"App-Abo ab 7,49 $",UNKNOWN,https://www.instagram.com/rescapeai/,2026-09-26,Garden/Backyard-Nische auf IG kaum mit AI-Creator-Accounts besetzt (nur Apps/Real-DIY gefunden).
@cartuner.ai,https://www.instagram.com/cartuner.ai/,Instagram,AI Cars,'World Wide Car Design by ai' – AI-Tuning/Concept-Renderings,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,47K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,"5,686",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Profilname 'World Wide Car Design by ai',UNKNOWN,keine – Volumen-Legacy,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/cartuner.ai/,2026-09-26,
@automotive.ai,https://www.instagram.com/automotive.ai/,Instagram,AI Cars,'automotive designs from a parallel universe' (AI-Concept-Cars),ES-UI-Snippet,UNKNOWN,UNKNOWN,UNKNOWN,17K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,378,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio: Designs 'brought by artificial intelligence',UNKNOWN,keine,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/automotive.ai/,2026-09-26,
@carart_ai,https://www.instagram.com/carart_ai/,Instagram,AI Cars,"AI Generated Car Art, täglich",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1,421","Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,101,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio: 'AI Generated Car Art',UNKNOWN,keine,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/carart_ai/,2026-09-26,
@ai.super.cars,https://www.instagram.com/ai.super.cars/,Instagram,AI Cars,AI-Supercars,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Profilname 'AI Super Cars',UNKNOWN,keine (Daten fehlen/Legacy),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/ai.super.cars/,2026-09-26,Nur Profil-URL im Index.
@ai.shoe.factory,https://www.instagram.com/ai.shoe.factory/,Instagram,AI Sneaker-/Product-Design,AI-Footwear-Konzepte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,56K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,340,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio: 'designing footwear using the power of artificial intelligence',UNKNOWN,keine,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/ai.shoe.factory/,2026-09-26,
@artificial.sneakers,https://www.instagram.com/artificial.sneakers/,Instagram,AI Sneaker-/Product-Design,digitale AI-Sneaker-Konzepte (Bobby),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,19K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,438,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Profil 'AI Sneakers by Bobby',UNKNOWN,keine,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/artificial.sneakers/,2026-09-26,
@aisneakerconcepts,https://www.instagram.com/aisneakerconcepts/,Instagram,AI Sneaker-/Product-Design,AI-Sneaker-Konzepte (prompted by @johnnyskicks_),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"3,046","Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,34,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio: 'sneakers designed using artificial intelligence',UNKNOWN,keine (D-Schwelle 50k verfehlt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/aisneakerconcepts/,2026-09-26,
@mistoraearth,https://www.instagram.com/mistoraearth/,Instagram,AI Nature Landscapes / Dream Destinations,'unreal places on Earth' – traumartige Natur-Clips (IG-Zwilling von YouTube Mistora),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,YouTube-Zwilling verlinkt 'Ig: mistoraearth'; Beschreibung 'nature that looks straight out of a dream'; NexLev-Klassifikator isAIContent=true; kein Selbstlabel,UNKNOWN,UNKNOWN auf IG (YouTube-Zwilling: B/C/E),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/mistoraearth/ | https://www.youtube.com/@MistoraEarth,2026-09-26,"IG-Kennzahlen nicht abrufbar. YouTube: 629K Abos, 72 Videos, Top-Short 325 Mio Views (07.01.2026). TikTok @mistoraearth nur 27 Follower (erstellt 2026-02-27)."
@yumayanagisawa,https://www.instagram.com/yumayanagisawa/,Instagram,AI Nature Landscapes,AI-generierte Landschaften (Künstler),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,51K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Post-Titel 'AI-generated landscapes',UNKNOWN,keine – Legacy/Künstler,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/yumayanagisawa/p/Cr0tUViNYK3/,2026-09-26,
@landscapesbyai_,https://www.instagram.com/landscapesbyai_/,Instagram,AI Nature Landscapes,AI-Landschafts-Reels,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Profil 'AI landscapes',UNKNOWN,keine (Daten fehlen/Legacy),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/landscapesbyai_/reels/?__d=1,2026-09-26,Nur Profil-URL im Index.
@naturavel_ai,https://www.instagram.com/naturavel_ai/,Instagram,AI Nature Landscapes,'fascinating works prepared by AI' – Natur,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,27,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,54,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio nennt AI,UNKNOWN,keine,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/naturavel_ai/,2026-09-26,
@aitravelsus,https://www.instagram.com/aitravelsus/,Instagram,AI Travel / Dream Destinations,'AI-powered travel adventure creator',UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,222,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio: AI-powered travel creator,UNKNOWN,keine,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/aitravelsus/,2026-09-26,
@higgsfield.creators,https://www.instagram.com/higgsfield.creators/,Instagram,Cross-Cluster (Tool-Showcase),'World's best collection of AI works' – Higgsfield-Repost-Showcase inkl. Car-Transform-Effekte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,226K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Tool-eigener Showcase-Account (Higgsfield),"Higgsfield, Kling 3.0",keine – Tool-Brand,nein/unbekannt,Tool-Marketing (Higgsfield-Abos),UNKNOWN,https://www.instagram.com/higgsfield.creators/ | https://www.instagram.com/reel/DR9fTKikgZW/,2026-09-26,"Nur Kontext: zeigt, dass Car-Transformation-Effekte als Higgsfield-Preset/Tutorial verbreitet werden (Sättigungstreiber)."
@skyreels_ai,https://www.instagram.com/skyreels_ai/,Instagram,Cross-Cluster (Tool),"'AI-powered shorts, films, and videos' (Tool-Account)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"6,793","Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio,UNKNOWN,keine – Tool,nein/unbekannt,Tool,UNKNOWN,https://www.instagram.com/skyreels_ai/,2026-09-26,
@topdailysetups,https://www.instagram.com/topdailysetups/,Instagram,AI Product Setups / Gaming Rooms (Kontext),3D-Gaming-Room-Setups + Room-Design-Service,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,67K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"3D-Renderings (vermutlich Blender/3D, nicht nachweislich generative AI) – daher nicht als AI-Erfolg gezählt",UNKNOWN,keine,nein/unbekannt,"JA: Amazon-Storefront amazon.com/shop/topdailysetups ('The products in our posts', 'Earns revenue') + bezahlter 3D-Room-Design-Service",UNKNOWN,https://www.instagram.com/topdailysetups/ | https://www.amazon.com/shop/topdailysetups,2026-09-26,Kontext-Beispiel der früheren Studie neu geprüft: Storefront existiert (am 2026-09-26 ohne gerenderte Posts). TikTok @topdailysetups nur 7 Follower.
@3dgamingsetups,https://www.instagram.com/3dgamingsetups/,Instagram,AI Product Setups / Gaming Rooms (Kontext),3D-Interior-Visualisierung / Gaming-Environments,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,111K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"3D-Arch-Viz, kein AI-Beleg",UNKNOWN,keine,nein/unbekannt,Design-Service (Bio),UNKNOWN,https://www.instagram.com/3dgamingsetups/,2026-09-26,amazon.com/shop/3dgamingsetups -> 404.
@thedreamsetup,https://www.instagram.com/thedreamsetup/,Instagram,"Desk Setups (Kontext, nicht AI)",reale Desk-Setups,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine AI-Indizien,UNKNOWN,keine,nein/unbekannt,JA: Amazon-Storefront amazon.com/shop/thedreamsetup (5 Posts),UNKNOWN,https://www.instagram.com/thedreamsetup/ | https://www.amazon.com/shop/thedreamsetup,2026-09-26,Affiliate-Benchmark für Setup-Nische.
@interiorraura,https://www.instagram.com/interiorraura/,Instagram,"AI Interior (Kontext, nicht AI)",tägliche Interior-/Deko-Inspiration,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,23K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine AI-Indizien,UNKNOWN,keine,nein/unbekannt,JA: Amazon-Storefront amazon.com/shop/interiorraura (16 Posts),UNKNOWN,https://www.instagram.com/interiorraura/ | https://www.amazon.com/shop/interiorraura,2026-09-26,Affiliate-Benchmark Interior-Theme-Page.
@nextgen_gadget,https://www.instagram.com/nextgen_gadget/,Instagram,AI Tech Gadgets (Kontext),Next-Gen-Tech/Gadgets,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,899K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine AI-Belege (Gadget-Theme-Page),UNKNOWN,keine,nein/unbekannt,JA: Amazon-Storefront amazon.com/shop/nextgen_gadget (5 Posts),UNKNOWN,https://www.instagram.com/nextgen_gadget/ | https://www.amazon.com/shop/nextgen_gadget,2026-09-26,
@gadget_with_ai,https://www.instagram.com/gadget_with_ai/,Instagram,AI Tech Gadgets (Kontext),"Gadgets (AI im Namen, Inhalt unklar)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,320K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,388,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Name enthält 'AI', aber kein Beleg für AI-generierte Konzepte",UNKNOWN,keine,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/gadget_with_ai/,2026-09-26,
@futureideagadget,https://www.instagram.com/futureideagadget/,Instagram,AI Tech Gadgets (Kontext),'Future gadget idea' – Erfindungen/Konzepte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,218K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,991,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Konzept-Gadgets, AI-Nutzung nicht belegt",UNKNOWN,keine,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/futureideagadget/,2026-09-26,
@torquevibe_official,https://www.instagram.com/torquevibe_official/,Instagram,AI Cars (Kontext),Car-Edits ('BMW day by day') – IG-Zwilling von YouTube Torque vibe,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,nur NexLev-Klassifikator isAIContent; Edits könnten reales Footage sein,UNKNOWN,UNKNOWN,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/torquevibe_official/ | https://www.youtube.com/@torqueCAREDITOR,2026-09-26,"YouTube: 284K Abos, erster Upload 2026-01-20, Top-Short 231 Mio."
@BauRausch,https://www.youtube.com/@BauRausch,YouTube Shorts (Cross-Plattform-Zwilling; IG-Präsenz ungeprüft falls nicht genannt),AI Homes / House Build Timelapse,"AI-Bau-Timelapses (Floating Cabin, Tiny Houses), DE-Keywords","US-Kanal, DE-Keywords/EN",Kanal erstellt 2025-07-13,2026-04-13,THIRD-PARTY OBSERVED (NexLev firstVideoUploadDate); Beitrittsdatum VERIFIED (YouTube About),"621,000",2026-09-26,VERIFIED (YouTube About via NexLev),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine,UNKNOWN,53,THIRD-PARTY OBSERVED (NexLev),UNKNOWN,"1,200,000","THIRD-PARTY OBSERVED (NexLev medianViews, Shorts)",https://youtube.com/shorts/BMlCqeKWe5Y,"127,816,601",2026-07-12,https://youtube.com/shorts/BMlCqeKWe5Y|127.8M|2026-07-12; https://youtube.com/shorts/OIZOnkR8-fs|85M|UNKNOWN; https://youtube.com/shorts/E8i8il0d758|56M|UNKNOWN; https://youtube.com/shorts/6DBHRTH6ljo|14M|UNKNOWN; https://youtube.com/shorts/R1IoDiLY5Wk|12M|UNKNOWN,THIRD-PARTY OBSERVED (NexLev topShorts); Top-1 VERIFIED via YouTube-Videodetails,≥5 (NexLev Top-5),UNKNOWN,VERIFIED,Videobeschreibung: 'generated entirely using artificial intelligence (AI)'; Titel-Suffix '[Concept AI]'; Kanal-Link 'AI Timelapse Guide',nicht genannt,"A (Äquivalent YouTube: erster Upload <6 Mon., >100K) + C + E (5 Shorts ≥10M)",nein (bereits groß),"JA: Link 'AI Timelapse Guide' -> vukovic.ink (Guides 9,99–24,99 €)",UNKNOWN,https://www.youtube.com/@BauRausch | NexLev search_shorts_niche_finder_channels (2026-09-26),2026-09-26,"Top-Short 'DIY Floating Cabin on Plastic Bottles' 127,8 Mio Views / 1,99 Mio Likes, veröffentlicht 2026-07-12 (im 90-Tage-Fenster). Creator Vukovic verkauft AI-Timelapse-Guides (vukovic.ink)."
