nische,plattform,handle,url,markt_sprache,follower,follower_datenqualitaet,groessenklasse,posting_frequenz,typische_views,median_views,top_views,views_datenqualitaet,content_format,ai_real_mixed,link_in_bio,affiliate,amazon_storefront,ltk,shopmy,eigene_collections,andere_affiliate_systeme,affiliate_nachweis,case_study,quelle_url,pruefdatum,notizen
Kaffee/Espresso-Setups (Theme-Page),Instagram,baristadaily,https://www.instagram.com/baristadaily/,EN/international,886300,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Espresso-/Kaffee-Clips, Feature-Page („Get Featured 👉“), „☕️ Shop Coffee Gear Below👇“",real (UGC-Features),UNKNOWN (kein Linktree/Storefront unter Handle),unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,nur Bio-CTA „Shop Coffee Gear Below“ (Ziel unbekannt); „Get Featured“ deutet auf bezahlte Features,nein,https://insta-stories-viewer.com/baristadaily/,2026-09-26,"8,3k Posts. Größte gefundene Kaffee-Theme-Page; TikTok irrelevant (17 Follower)."
Kaffee/Espresso (Latte Art),YouTube Shorts,@Daily.latteart,https://www.youtube.com/channel/UC85mzaTTqTpV5iQs5Uxwsag,EN/Polen,12000,ESTIMATED,10k-100k,~5.7 Uploads/Woche (151 Shorts seit 2026-03-23; NexLev),Ø 195k/Short (verzerrt durch Viral-Hit),18500,27 Mio. („Day 68 of learning latte art“),ESTIMATED (NexLev),Serie „Day X of learning latte art“ mit DeLonghi Dedica (Produkt sichtbar),"real (Hände, faceless)",nur TikTok-Link,nein,nein,nein,nein,nein,nein,keine Affiliate-Links,nein,https://www.youtube.com/channel/UC85mzaTTqTpV5iQs5Uxwsag ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"Ungenutzte Opportunity: Maschine/Zubehör klar im Bild, aber kein Affiliate-Link."
Cleaning/Home Organization,Instagram,thatorganizedhome,https://www.instagram.com/thatorganizedhome/,EN/UK,417400,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Organizing-/Decluttering-Tipps, Storage Solutions, Decor Ideas",real (ESTIMATED),UNKNOWN (Linktree unter Handle leer),ja,"ja (amazon.com/shop/thatorganizedhome, Tag thatorganiz02-20)",UNKNOWN,UNKNOWN,ja (Storefront),UNKNOWN,Bio „Shop now🔽🔽🔽“ + Storefront „That Organized Home’s Amazon Page“ mit Associate-Tag,ja,https://www.amazon.com/shop/thatorganizedhome ; https://insta-stories-viewer.com/thatorganizedhome/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,"orbitvibe 874,6k vs. Viewer 417,4k (Diskrepanz)."
Cleaning/Home Organization (Marke/Personen-Vergleich),Instagram,thehomeedit,https://www.instagram.com/thehomeedit/,EN/US,6200000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Organisations-Content (Clea + Joanna), Netflix-Show, Bücher",real (Personen),Linktree (linktr.ee/thehomeedit),ja,"ja (amazon.com/shop/thehomeedit, Tag thehomeedit0c-20)",ja (shopltk.com/explore/thehomeedit),UNKNOWN,"ja (Kollektionen Ruggable/Spoonflower, Bücher)","Rakuten (click.linksynergy.com), CJ (tkqlhce.com)","Linktree: „The Home Edit LTK“, „The Home Edit’s Amazon Storefront“, linksynergy- & tkqlhce-Links",ja,https://linktr.ee/thehomeedit ; https://www.amazon.com/shop/thehomeedit ; https://www.shopltk.com/explore/thehomeedit ; https://insta-stories-viewer.com/thehomeedit/,2026-09-26,Benchmark für Multi-Network-Affiliate-Stack (Amazon+LTK+Rakuten+CJ) – personengeführt.
Cleaning (Personen-Vergleich),Instagram,anna_louisa_at_home,https://www.instagram.com/anna_louisa_at_home/,EN/UK,4400000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Cleaning-Tipps & Tricks, „5 minute Clean Routine“",real (Person),Linktree (YouTube/Pinterest),ja,"ja (amazon.com/shop/anna_louisa_at_home, Tag annalouisax21-20)",UNKNOWN,UNKNOWN,ja (Buch),UNKNOWN,Storefront „Anna Louisa’s Amazon Page“ mit Associate-Tag,ja,https://www.amazon.com/shop/anna_louisa_at_home ; https://insta-stories-viewer.com/anna_louisa_at_home/ ; https://hypeauditor.com/top-instagram-diy-design-united-states/,2026-09-26,"HypeAuditor US DIY #18 (4,5 Mio.)."
Cleaning/Restoration ASMR,YouTube Shorts,@CrazyClean01-k5d,https://www.youtube.com/channel/UCaP60Z16FYhNK29GM5QGrqQ,EN/international,234000,ESTIMATED,100k-500k,~1.3 Uploads/Woche (109 Shorts seit 2025-02-27; NexLev),"Ø 3,86 Mio./Short",260500,139 Mio. („for pancakes or eggs? #cleantok“),ESTIMATED (NexLev),"CleanTok-/Restoration-ASMR (Thrift-Pfannen etc.), Titel wie „It costs $450 on Amazon and I paid $15“",real (Hände),keine,nein,nein,nein,nein,nein,nein,keine Links,nein,https://www.youtube.com/channel/UCaP60Z16FYhNK29GM5QGrqQ ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"Opportunity: Reinigungsmittel/Tools im Bild, nicht monetarisiert."
Haustiere – Hunde (Theme-Page),Instagram,dogsofinstagram,https://www.instagram.com/dogsofinstagram/,EN/US,5600000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UGC-Hundefotos/-Reels (Submit to be featured), Pet-Parenting-Tipps",real (UGC),Linktree (linktr.ee/dogsofinstagram),ja,"ja (amazon.com/shop/dogsofinstagram, Tag greatpetcare-20)",nein,UNKNOWN,ja (Storefront),"Rabattcode-Partnerlink (missinglinkproducts.com „20% off Smartmouth Dental Treats“), Gewinnspiel (swee.ps)",Storefront „dogsofinstagram’s Amazon Page“ mit Tag greatpetcare-20; Linktree mit Rabatt-/Partnerlinks,ja,https://linktr.ee/dogsofinstagram ; https://www.amazon.com/shop/dogsofinstagram ; https://insta-stories-viewer.com/dogsofinstagram/,2026-09-26,"Associate-Tag „greatpetcare“ → Storefront wird von Pet-Media-Firma betrieben (Hinweis auf Media-Übernahme/Partnerschaft). 10,3k Posts."
Haustiere – Katzen (Theme-Page),Instagram,catsofinstagram,https://www.instagram.com/catsofinstagram/,EN/US-CA,1500000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UGC-Katzencontent (#COICommunity), Ambassacats",real (UGC),"Linktree (linktr.ee/catsofinstagram, verlinkt instagram.com/catsofinstagram)",unklar,nein (404),nein,UNKNOWN,Website catsofinstagram.ca,"bezahlte Brand-Link-Placements (z. B. peturdays.com …utm_medium=themepage&utm_campaign=catsofinstagram; PetSafe, meowbox, Etsy, Kickstarter)","Linktree mit 17 Produkt-/Markenlinks, Amazon-Link ohne Tag; UTM „themepage“ spricht für Sponsoring statt Provision",nein,https://linktr.ee/catsofinstagram ; https://insta-stories-viewer.com/catsofinstagram/,2026-09-26,"orbitvibe listet @cats_of_instagram (12,3 Mio.) – anderes Konto. Modell: Link-Placements an Marken verkaufen."
Haustiere – Hunde/Katzen (Repost-Theme-Page),Instagram,round.boys,https://www.instagram.com/round.boys/,EN/US,1100000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Repost-Tierclips („we own no content posted. Dm for removal!“),real (Reposts),Linktree (linktr.ee/round.boys),ja,"ja (amazon.com/shop/round.boys, Tag noahperiord-20)",nein,UNKNOWN,ja (Storefront „Pet Essentials for your Round Boys/Girls“ + Merch),nein,Linktree-Link „Pet Eseentials for your Round Boys/Girls“ (AMAZON_SHOP → amazon.com/shop/round.boys); Storefront „Round Boys’s Amazon Page“,ja,https://linktr.ee/round.boys ; https://www.amazon.com/shop/round.boys ; https://insta-stories-viewer.com/round.boys/ ; https://orbitvibe.com/rankings/instagram/pets,2026-09-26,"orbitvibe 991,1k. Lehrbuchfall: faceless Repost-Page + Amazon-Storefront + Merch."
"Haustiere – Hunde (Theme-Page, Eigenshop)",Instagram,dog,https://www.instagram.com/dog/,EN/US,2500000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„we post the best dog videos“ (UGC-Einsendungen),real (UGC),"Linktree (linktr.ee/dog, verlinkt instagram.com/dog)",nein,nein,nein,nein,"ja (Eigenshop shopdog.com, „Design Your Portrait Charm“)",nein,"Linktree: SHOPDOG.COM, Submit your dog video, TikTok → Eigenshop-Modell",nein,https://linktr.ee/dog ; https://insta-stories-viewer.com/dog/ ; https://orbitvibe.com/rankings/instagram/pets,2026-09-26,Premium-Handle; monetarisiert über eigene Produkte.
Haustiere – Katzen (Theme-Page),Instagram,thecatluminati,https://www.instagram.com/thecatluminati/,EN/US,555800,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Katzen-Memes/-Clips,real (Reposts),UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Nachweis (Bio nur Business-Mail),nein,https://insta-stories-viewer.com/thecatluminati/ ; https://orbitvibe.com/rankings/instagram/pets,2026-09-26,orbitvibe 799k.
Haustiere – Farmtiere (Theme-Page),Instagram,cutest.farm,https://www.instagram.com/cutest.farm/,EN/international,891300,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Farmtier-Clips, UGC-Einsendungen",real (UGC),UNKNOWN („Submit your video 👇“),unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,Netzwerk @discover.animal (Werbung),kein Nachweis,nein,https://insta-stories-viewer.com/cutest.farm/ ; https://orbitvibe.com/rankings/instagram/pets,2026-09-26,Teil eines Page-Netzwerks („Work with @discover.animal“).
Haustiere – Hundetraining,Instagram,dogtrainingdawg,https://www.instagram.com/dogtrainingdawg/,EN/international,784000,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Hundetrainings-Tipps („Develop your dog’s hidden intelligence“), CTA „Click the link below“",real (ESTIMATED),UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (Bio-CTA typisch für Info-Produkt-Affiliate),nur Bio-CTA; Linkziel nicht ermittelbar,nein,https://insta-stories-viewer.com/dogtrainingdawg/ ; https://orbitvibe.com/rankings/instagram/pets,2026-09-26,"Nur 82 Posts bei 784k Followern (orbitvibe 1,2 Mio.; Kategorie „Training | Tips | Guide“)."
Haustiere – Katzenprodukte (Eigenshop),Instagram,niopets1,https://www.instagram.com/niopets1/,EN/international,790100,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Katzenprodukte-Reels („Products for cat lovers“),real,Website niopets.com,nein,nein (404),nein,nein,"ja (Eigenshop niopets.com, Worldwide Shipping)",nein,Threads-Bio: „Products for cat lovers / Worldwide shipping / Shop here www.niopets.com“,nein,https://www.threads.com/@niopets1 ; https://orbitvibe.com/rankings/instagram/pets,2026-09-26,"Threads 84,6k Follower. Eigenshop-Modell."
Haustiere – Hunde (Theme-Page),Instagram,pitbullz_zone,https://www.instagram.com/pitbullz_zone/,EN/international,739900,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„Daily Dose of Pitbulls“,real (Reposts),UNKNOWN,nein (Shoutouts),nein (404),nein,nein,nein,bezahlte Promos/Shoutouts,Threads-Bio „DM for Promo/Ads/Shoutouts“,nein,https://www.threads.com/@pitbullz_zone ; https://orbitvibe.com/rankings/instagram/pets,2026-09-26,"Threads 154,5k. Klassisches Shoutout-Modell."
Haustiere/Gadgets (Produktdemos),YouTube Shorts,@Sathi_Mart,https://www.youtube.com/channel/UC_bNXuXQNDMEyvYINPRJdGg,EN/Indien→US,25500,ESTIMATED,10k-100k,~10.3 Uploads/Woche (320 Shorts seit 2026-02-21; NexLev),Ø 316k/Short,39000,35 Mio. („Interactive Cat Water Mat – Link in my profile!“),ESTIMATED (NexLev),"Produktdemo-Shorts „Get this … – Link in my profile!“ (Katzenspielzeug, Haushalt, Beauty)",real (faceless Demo),Linktree (linktr.ee/sathimart),ja,nein; 28 amzn.to + 5 link.amazon-Links,nein,nein,ja (Linktree-Produktliste 33 Links),nein,"Linktree „SathiMart – Viral Finds • Smart Deals“: 23 AMAZON_PRODUCT-Links (amzn.to, link.amazon)",ja,https://www.youtube.com/channel/UC_bNXuXQNDMEyvYINPRJdGg ; https://linktr.ee/sathimart ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"Kleinkanal mit Viral-Ausreißern: Median 39k, Top 35 Mio.; Titel-CTA „Link in my profile“."
Haustiere – Gedenkprodukte (Eigenshop),YouTube Shorts,@Pawmemories-w6w,https://www.youtube.com/channel/UCfVKXSyKw4lYc4YeE6G2l-g,EN/international,300000,ESTIMATED,100k-500k,~0.7 Uploads/Woche (41 Shorts seit 2025-07-30; NexLev),"Ø 5,2 Mio./Short",98000,77 Mio. (Kristallkugel-Geschenk),ESTIMATED (NexLev),"Emotionale Produktdemo (Custom-Video in Kristallkugel), CTA „Link in bio“",real,pawmemories.store,nein,nein,nein,nein,ja (Eigenshop),nein,Kanal-Link pawmemories.store/products/paw-memories,nein,https://www.youtube.com/channel/UCfVKXSyKw4lYc4YeE6G2l-g ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Emotion + Produkt = sehr hohe Top-Views.
Haustiere – Katzenprodukte (Eigenshop),YouTube Shorts,@PurryPaws-i6o (SnuggoPaws),https://www.youtube.com/channel/UCiT6UDzsyuqu5P4wDHtxoXg,EN/international,40500,ESTIMATED,10k-100k,~8.6 Uploads/Woche (464 Shorts seit 2025-09-14; NexLev),Ø 228k/Short,247500,36 Mio. („The perfect gift for this Christmas“),ESTIMATED (NexLev),"Produktdemo Katzen-Hoodie, „Get your hoodie toy from our profile“",real,mycozihoodi.com,nein,nein,nein,nein,ja (Eigenshop),nein,Kanal-Link mycozihoodi.com/products/cozi-hoodi,nein,https://www.youtube.com/channel/UCiT6UDzsyuqu5P4wDHtxoXg ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Sehr hohe Posting-Frequenz (~11/Woche).
"Baby/Parenting (Registry-Händler, Kontext)",Instagram,babylist,https://www.instagram.com/babylist/,EN/US,688600,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Baby-/Familien-Content einer Registry-Plattform,real,UNKNOWN,ja (Storefront vorhanden),ja (amazon.com/shop/babylist „Babylist’s Amazon Page“),UNKNOWN,UNKNOWN,ja (Registry),UNKNOWN,Storefront-Titel „Babylist’s Amazon Page“ (Associate-Tag der Seite: lenguajero-20 – Zuordnung unklar),nein,https://www.amazon.com/shop/babylist ; https://insta-stories-viewer.com/babylist/,2026-09-26,Marke; nur Kontext. Keine EN-Baby-Theme-Page mit belegter Reichweite gefunden (Datenlücke).
Baby-Gadgets/Kinderprodukte,YouTube Shorts,@callmehafid69 (Hasnan Hafid),https://www.youtube.com/channel/UC3gBZqQOC8O4c9ixA-gvyqg,EN/US,505000,ESTIMATED,500k-1M,~1.0 Uploads/Woche (75 Shorts seit 2025-04-29; NexLev),Ø 367k/Short,46500,"8,2 Mio. („3 coolest baby gadgets in the world“)",ESTIMATED (NexLev),„3 coolest baby gadgets“-Listicles,real (Kompilation),UNKNOWN,unklar,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,nicht geprüft (keine Links abgerufen),nein,https://www.youtube.com/channel/UC3gBZqQOC8O4c9ixA-gvyqg ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"NexLev-AdSense-Schätzung gesamt nur ~2,7k USD trotz 505k Abos → Shorts-Fonds allein trägt nicht."
Schlaf/Bedroom-Aesthetics (AI),YouTube Shorts,@UnrealLife1,https://www.youtube.com/channel/UC7w-67PUkxwnS9UBvVsUG2g,EN/US,95300,ESTIMATED,10k-100k,~1.4 Uploads/Woche (153 Shorts seit 2024-08-17; NexLev),Ø 225k/Short,103500,22 Mio. („Choose your dream bedroom 😴💤“),ESTIMATED (NexLev),„Choose your dream bedroom“-Auswahl-Kompilationen (Interaktion/Kommentare),AI,Kanal-Link aistudios.com (AI-Tool),unklar (AI-Tool-Link),nein,nein,nein,nein,möglicherweise AI-Tool-Referral (aistudios.com),"nur Tool-Link, kein Produkt-Affiliate",nein,https://www.youtube.com/channel/UC7w-67PUkxwnS9UBvVsUG2g ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"AI-Schlafzimmer nicht kaufbar → Engagement ja, Affiliate nein."
Luxury Homes,Instagram,luxury_homes,https://www.instagram.com/luxury_homes/,EN/international,1300000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Luxushaus-Kuration; Bio: Tyler Van Twist (@vantwist), Huntington Beach",real,UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Produkt-Affiliate gefunden (Luxusimmobilien nicht per Affiliate kaufbar),nein,https://insta-stories-viewer.com/luxury_homes/ ; https://orbitvibe.com/rankings/instagram/real-estate,2026-09-26,"orbitvibe 1,2 Mio.; personengeführt (Makler-Umfeld)."
Luxury Homes,Instagram,mansionsonig,https://www.instagram.com/mansionsonig/,EN/international,827200,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"„#1 page for Mansions!“, kuratiert von @mansionisti, Newsletter",real,UNKNOWN,nein,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,Lead-Gen/Newsletter/Brand Deals,kein Produkt-Affiliate gefunden (Luxusimmobilien nicht per Affiliate kaufbar),nein,https://insta-stories-viewer.com/mansionsonig/ ; https://orbitvibe.com/rankings/instagram/real-estate,2026-09-26,"orbitvibe 1,1 Mio. Monetarisierung: Newsletter/Makler-Features."
Luxury Homes,Instagram,zillowgonewild,https://www.instagram.com/zillowgonewild/,EN/international,2300000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Kuriose Zillow-Listings; eigenes Spiel „Househunt“,real,UNKNOWN,nein,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,Lead-Gen/Newsletter/Brand Deals,kein Produkt-Affiliate gefunden (Luxusimmobilien nicht per Affiliate kaufbar),nein,https://insta-stories-viewer.com/zillowgonewild/ ; https://orbitvibe.com/rankings/instagram/real-estate,2026-09-26,"orbitvibe 2,3 Mio. Monetarisierung: Brand Deals + eigenes Spiel/Produkt (Lizenz Zillow-Marke)."
Luxury Homes,Instagram,themillionaires_mindset,https://www.instagram.com/themillionaires_mindset/,EN/international,853700,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„Sharing luxury houses on a daily basis“,real,UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Produkt-Affiliate gefunden (Luxusimmobilien nicht per Affiliate kaufbar),nein,https://insta-stories-viewer.com/themillionaires_mindset/ ; https://orbitvibe.com/rankings/instagram/real-estate,2026-09-26,"orbitvibe 854,6k (Belgien)."
Luxury Homes,Instagram,beautyofhouses,https://www.instagram.com/beautyofhouses/,EN/international,610000,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„Powered by KEYLEAD – Buy/Sell/Rent/Promote/Invest“,real,UNKNOWN,nein,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,Lead-Gen/Newsletter/Brand Deals,kein Produkt-Affiliate gefunden (Luxusimmobilien nicht per Affiliate kaufbar),nein,https://insta-stories-viewer.com/beautyofhouses/ ; https://orbitvibe.com/rankings/instagram/real-estate,2026-09-26,orbitvibe 948k; Lead-Gen für Immobilien.
Luxury Homes,Instagram,housesofcelebs,https://www.instagram.com/housesofcelebs/,EN/international,658500,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Luxury Real Estate News, Promi-Häuser",real,UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Produkt-Affiliate gefunden (Luxusimmobilien nicht per Affiliate kaufbar),nein,https://insta-stories-viewer.com/housesofcelebs/ ; https://orbitvibe.com/rankings/instagram/real-estate,2026-09-26,"orbitvibe 635,3k."
Luxury Homes,Instagram,millionaire_homes,https://www.instagram.com/millionaire_homes/,EN/Niederlande,421300,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Luxushaus-Kuration,real,UNKNOWN,unklar,nein (404),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,kein Nachweis,nein,https://orbitvibe.com/rankings/instagram/real-estate,2026-09-26,Nur orbitvibe (Rang 79).
AI Architecture,Instagram,midjourney.architecture,https://www.instagram.com/midjourney.architecture/,EN/international,162000,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Midjourney-Architektur-Renderings, UGC-Features (#midjourneyarchitecture)",AI,Linktree (linktr.ee/midjourney.architecture),nein,nein (404),nein,nein,nein,"bezahlte Promotions (AI-Workshop Nordfy, RD Studio/revitdynamo.com)","Linktree: „Creativity AI Workshop – Nordfy“, „RD Studio“; Bio „Email for Promotions“ → Sponsoring statt Produkt-Affiliate",nein,https://linktr.ee/midjourney.architecture ; https://insta-stories-viewer.com/midjourney.architecture/,2026-09-26,"Beleg: AI-Architektur-Pages monetarisieren über Kurse/Promotions, nicht über kaufbare Produkte."
"Architektur (Theme-Page, Kontext)",Instagram,parametric.architecture,https://www.instagram.com/parametric.architecture/,EN/international,1700000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Tägliche Architektur-/Design-Inspiration,mixed,UNKNOWN,nein,UNKNOWN,nein,nein,"ja (Academy @thepaacademy, Podcast)",Kurse,Bio „Learn with @thepaacademy“ → Education-Modell,nein,https://insta-stories-viewer.com/parametric.architecture/,2026-09-26,
AI Interior Design,YouTube Shorts,@DreamyInterior,https://www.youtube.com/channel/UCAdiOm2n3c36X3_DddiqJ7A,EN/US,315000,VERIFIED,100k-500k,~3.2 Uploads/Woche (88 Shorts seit 2026-03-18; NexLev),"Ø 1,75 Mio./Short",579500,32 Mio. („This Tiny Bedroom Transformation Is Genius“),ESTIMATED (NexLev),"AI-Raum-Transformationen (kleine Schlafzimmer/Apartments), Before/After",AI,keine Kanal-Links,nein,nein,nein,nein,nein,nein,Kanal „Interior Design Ideas“ ohne Links,nein,https://www.youtube.com/channel/UCAdiOm2n3c36X3_DddiqJ7A ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26) ; NexLev youtube_channel_about,2026-09-26,"155,6 Mio. Kanal-Views (VERIFIED about); NexLev-AdSense-Schätzung ~15,4k USD. Stärkster AI-Interior-Beleg für Reichweite ohne Affiliate."
AI Interior Design (App-Promotion),YouTube Shorts,@IslaInteriorDesigner,https://www.youtube.com/channel/UC2MLuKGNJNDZ1lko7cp23Eg,EN/international,51100,VERIFIED,10k-100k,~9.4 Uploads/Woche (233 Shorts seit 2026-04-05; NexLev),Ø 276k/Short,585000,"5,5 Mio. („Used RenoMuse app and turned my room into Blanket Fort“)",ESTIMATED (NexLev),POV „I showed my landlord/bf what AI could do to our room“ – AI-Redesign mit App,AI (Persona „Isla“),go.renomuse.com/isla-yt,"ja (App-Referral, kein Produkt-Affiliate)",nein,nein,nein,nein,App-Tracking-Link RenoMuse,Kanalbeschreibung „search RenoMuse in the App Store“ + Tracking-Link go.renomuse.com/isla-yt,nein,https://www.youtube.com/channel/UC2MLuKGNJNDZ1lko7cp23Eg ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26) ; NexLev youtube_channel_about,2026-09-26,Wahrscheinlich App-eigener UGC-/Persona-Kanal (Performance-Marketing). Monetarisierung AI-Interior = App-Downloads statt Möbel.
AI Home/Backyard Renovation,YouTube Shorts,@KouYangAI,https://www.youtube.com/channel/UCDVNMpstbu5ep5MX5bV7RWw,EN/US,72100,ESTIMATED,10k-100k,~3.5 Uploads/Woche (278 Shorts seit 2025-03-25; NexLev),Ø 553k/Short,622500,30 Mio. („Backyard Glow Up From Abandoned“),ESTIMATED (NexLev),AI-Before/After verlassener Häuser/Gärten (Adobe Firefly),AI,nur Facebook,nein,nein,nein,nein,nein,nein,keine Affiliate-Links,nein,https://www.youtube.com/channel/UCDVNMpstbu5ep5MX5bV7RWw ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Outlier-Score ~3 (NexLev).
AI Architecture/Tiny House (DE),YouTube Shorts,@BauRausch,https://www.youtube.com/channel/UCLD6TIH_b6r4v-7NQoXOvhA,DE (teils EN-Titel),620000,ESTIMATED,500k-1M,~2.2 Uploads/Woche (53 Shorts seit 2026-04-13; NexLev),"Ø 7,3 Mio./Short",1200000,127 Mio. („DIY Floating Cabin … [Concept AI]“),ESTIMATED (NexLev),AI-Timelapse-Bauprojekte („Ich habe einen Schulbus vergraben … [KI-Konzept]“),AI (gekennzeichnet „KI-Konzept“),vukovic.ink,nein,nein,nein,nein,nein,nein,keine Affiliate-Links,nein,https://www.youtube.com/channel/UCLD6TIH_b6r4v-7NQoXOvhA ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"Stärkster DE-AI-Beleg: 620k Abos in ~5 Monaten, aber keine Affiliate-Monetarisierung."
3D Interior/Small Apartment Design,YouTube Shorts,@HomeGraphix,https://www.youtube.com/channel/UCnwUTlzK8F7JhTOzz9SiGHw,EN/US,1080000,ESTIMATED,1M+,~0.6 Uploads/Woche (48 Shorts seit 2025-02-21; NexLev),"Ø 6,6 Mio./Short",1077500,167 Mio. („Designing 3m² Apartment in New York!“),ESTIMATED (NexLev),3D-Raumplanung kleiner Apartments,3D-Render (kein AI laut NexLev),homedesignbook.com,nein,nein,nein,nein,ja (eigenes Interior-eBook),nein,Kanal-Link homedesignbook.com („beginner-friendly interior design guide … eBook“) → Info-Produkt,nein,https://www.youtube.com/channel/UCnwUTlzK8F7JhTOzz9SiGHw ; https://www.homedesignbook.com/ ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Render-Möbel nicht kaufbar → eBook statt Affiliate.
AI/3D Furniture & Smart Design,YouTube Shorts,@SmartDesign365,https://www.youtube.com/channel/UCH6gCuZOIzMNe5MdE5FU-ZA,EN/US,2130000,ESTIMATED,1M+,~3.1 Uploads/Woche (277 Shorts seit 2025-01-09; NexLev),"Ø 15,8 Mio./Short",28000000,911 Mio. („Multifunctional folding table design“),ESTIMATED (NexLev),Animierte Klapp-/Multifunktionsmöbel-Mechanik,mixed (Kanal: „I use AI technology to visualize … design concepts“; NexLev: 3D-Animation),"aiimagetovideo.pro, blender.org",nein,nein,nein,nein,nein,evtl. AI-Tool-Link,nur Tool-Links,nein,https://www.youtube.com/channel/UCH6gCuZOIzMNe5MdE5FU-ZA ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"4,37 Mrd. Views; NexLev-AdSense-Schätzung ~437k USD. Riesige Reichweite für Möbel-Konzepte ohne Kauflink = größte Ineffizienz im Sample."
