kennzahl,markt,wert,einheit,jahr,quelle_titel,quelle_url,datenqualitaet,notiz
online_umsatz_branche_netto,DE: Heimwerken & Garten,3.3,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"DIY-Kernsortimente; einzige Branche mit neg. CAGR 2020-25 (-0,5 %)"
online_anteil_branche,DE: Heimwerken & Garten,7.6,%,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"DIY-Kernsortimente; einzige Branche mit neg. CAGR 2020-25 (-0,5 %)"
online_umsatz_branche_netto,DE: Schmuck & Uhren,1.4,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,
online_umsatz_branche_netto,DE: Büro & Schreibwaren,1.4,Mrd. EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,
online_anteil_warengruppe,DE: Heimtierbedarf (vermutet),26.6,%,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,THIRD-PARTY ESTIMATE,Zuordnung aus FMCG-Grafik im PDF unsicher
marktplatz_anteil_online,DE,56.7,% des Onlineumsatzes,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"Marktplatzumsatz +5,9 %"
amazon_anteil_online_gesamt,DE,63.3,% des Onlinehandels,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"Eigenhandel 17,2 % + Marketplace 46,1 %; institutionelle Betrachtung inkl. Auslandsumsätze über amazon.de"
andere_marktplaetze_anteil,DE,10.8,% des Onlinehandels,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"eBay, Otto, Zalando/About You, TikTok Shop u.a."
temu_shein_marktanteil,DE,5.0,% des Onlinehandels,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,"HDE-PM: rund 4,7 Mrd. EUR"
tiktok_shop_umsatz,DE,220,Mio. EUR,2025,HDE Online-Monitor 2026 (IFH Köln) nach PwC/charm.io,https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,THIRD-PARTY ESTIMATE,ca.-Wert; 9 % der Internetnutzer haben dort gekauft
bestellungen_pro_onlineshopper,DE,35.2,Bestellungen/Jahr,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,
ausgaben_pro_bestellung,DE,53.2,EUR,2025,HDE Online-Monitor 2026 (IFH Köln),https://einzelhandel.de/images/presse/Pressekonferenz/2026/onlinemonitor26/Online_Monitor_2026.pdf,VERIFIED,=> ca. 1.873 EUR pro Onlineshopper/Jahr (abgeleitet)
online_ausgaben_pro_kopf,DE,1100,EUR,2025,"Eigene Berechnung: HDE 92,3 Mrd / 83,9 Mio. Einw.",siehe HDE + DataReportal,VERIFIED,abgeleitet
ecommerce_ausgaben,AT,12.3,Mrd. EUR,2026,Handelsverband Österreich eCommerce-Studie 2026 (Befragung April 2026),https://www.handelsverband.at/publikationen/studien/ecommerce-studie-oesterreich/ecommerce-studie-oesterreich-2026/,VERIFIED,+3 % ggü. Vorjahresstudie; Distanzhandel online; Studienjahr 2026 = Zeitraum ca. Mai 2025-Apr. 2026
online_anteil_einzelhandel,AT,13,%,2026,Handelsverband Österreich eCommerce-Studie 2026,https://www.handelsverband.at/publikationen/studien/ecommerce-studie-oesterreich/ecommerce-studie-oesterreich-2026/,VERIFIED,
ausgaben_pro_onlineshopper,AT,2120,EUR,2026,Handelsverband Österreich eCommerce-Studie 2026,https://www.handelsverband.at/publikationen/studien/ecommerce-studie-oesterreich/ecommerce-studie-oesterreich-2026/,VERIFIED,"5,8 Mio. Onlineshopper"
anteil_auslaendische_anbieter,AT,47,% der Online-Ausgaben,2026,Handelsverband Österreich eCommerce-Studie 2026,https://www.handelsverband.at/publikationen/studien/ecommerce-studie-oesterreich/ecommerce-studie-oesterreich-2026/,VERIFIED,"5,8 Mrd. EUR; China-Plattformen 1,3 Mrd. EUR"
amazon_gmv_oesterreichische_kunden,AT,4.3,Mrd. EUR,2025,Handelsverband/ECDB E-Commerce-Report 2025 (PM 05.06.2025),https://www.ots.at/presseaussendung/OTS_20250605_OTS0015/handelsverband-und-ecdb-praesentieren-e-commerce-report-2025-amazon-zalando-und-shop-apotheke-sind-groesste-online-haendler-in-oesterreich,VERIFIED,>40 % aller Online-Ausgaben; Zalando 607 Mio. EUR; AT ohne eigenen Amazon-Store (amazon.de)
online_ausgaben_kategorie,AT: Bekleidung/Textil,2.4,Mrd. EUR,2026,Handelsverband Österreich eCommerce-Studie 2026,https://www.handelsverband.at/publikationen/studien/ecommerce-studie-oesterreich/ecommerce-studie-oesterreich-2026/,VERIFIED,
online_ausgaben_kategorie,AT: Elektronik,1.5,Mrd. EUR,2026,Handelsverband Österreich eCommerce-Studie 2026,https://www.handelsverband.at/publikationen/studien/ecommerce-studie-oesterreich/ecommerce-studie-oesterreich-2026/,VERIFIED,
online_ausgaben_kategorie,AT: Möbel,1.0,Mrd. EUR,2026,Handelsverband Österreich eCommerce-Studie 2026,https://www.handelsverband.at/publikationen/studien/ecommerce-studie-oesterreich/ecommerce-studie-oesterreich-2026/,VERIFIED,
ecommerce_umsatz,CH,15.8,Mrd. CHF,2025,HANDELSVERBAND.swiss/NIQ/Post Onlinemarkt Schweiz 2025,https://handelsverband.swiss/news/schweizer-online-konsum-waechst-im-jahr-2025-erneut-um-6-das-wachstum-der-einkaeufe-im-ausland-flacht-ab/,VERIFIED,"+6 %; Inland 13,0 Mrd., Ausland 2,8 Mrd. CHF (+8 %)"
kategorie_anteil_onlinemarkt,CH: Home Electronics,28,%,2025,HANDELSVERBAND.swiss/NIQ/Post,https://handelsverband.swiss/news/schweizer-online-konsum-waechst-im-jahr-2025-erneut-um-6-das-wachstum-der-einkaeufe-im-ausland-flacht-ab/,VERIFIED,+11 %
kategorie_anteil_onlinemarkt,CH: Fashion,16,%,2025,HANDELSVERBAND.swiss/NIQ/Post,https://handelsverband.swiss/news/schweizer-online-konsum-waechst-im-jahr-2025-erneut-um-6-das-wachstum-der-einkaeufe-im-ausland-flacht-ab/,VERIFIED,
kategorie_anteil_onlinemarkt,CH: Home & Living,15,%,2025,HANDELSVERBAND.swiss/NIQ/Post,https://handelsverband.swiss/news/schweizer-online-konsum-waechst-im-jahr-2025-erneut-um-6-das-wachstum-der-einkaeufe-im-ausland-flacht-ab/,VERIFIED,Marktführer Digitec Galaxus; Zalando in Fashion
ecommerce_umsatz_retail,US,1233.7,Mrd. USD,2025,US Census Bureau Quarterly Retail E-Commerce Sales Q4 2025 (10.03.2026),https://www2.census.gov/retail/releases/historical/ecomm/25q4.pdf,VERIFIED,"+5,4 % ggü. 2024"
online_anteil_einzelhandel,US,16.4,%,2025,US Census Bureau Q4 2025,https://www2.census.gov/retail/releases/historical/ecomm/25q4.pdf,VERIFIED,"2024: 16,1 %; Q4 2025 saisonbereinigt 16,6 %"
online_ausgaben_pro_kopf,US,3545,USD,2025,"Eigene Berechnung: 1.233,7 Mrd / 348 Mio.",siehe Census + DataReportal,VERIFIED,abgeleitet
amazon_anteil_ecommerce,US,40.5,%,2025,"Statista (Research Dept., Release 22.04.2026)",https://www.statista.com/statistics/274255/market-share-of-the-leading-retailers-in-us-e-commerce/,THIRD-PARTY ESTIMATE,"Walmart 9,2 %, Apple 3,2 %"
online_anteil_einzelhandel,UK (GB),27.5,%,2025,"ONS Retail Sales, Serie J4MC (NSA, Jahreswert)",https://www.ons.gov.uk/businessindustryandtrade/retailindustry/timeseries/j4mc/drsi,VERIFIED,"2024: 27,1 %; Dez. 2025: 29,5 % (NSA) bzw. 28,3 % lt. Bulletin"
ecommerce_umsatz_retail,UK (GB),132.8,Mrd. GBP,2025,"ONS Serie JE2J (Ø Wochenwert 2.546 Mio. GBP) x 52,14 - eigene Hochrechnung",https://www.ons.gov.uk/businessindustryandtrade/retailindustry/timeseries/je2j/drsi,VERIFIED,"abgeleitet; 2024 analog 127,1 Mrd. GBP (Drittquelle: 127,4 Mrd.)"
online_anteil_sektor,UK (GB): Textil/Bekleidung/Schuhe,28.3,%,2025,ONS Serie MS76,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/timeseries/ms76/drsi,VERIFIED,
online_anteil_sektor,UK (GB): Household goods stores,24.7,%,2025,ONS Serie MS77,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/timeseries/ms77/drsi,VERIFIED,"2023: 27,0 %"
online_ausgaben_pro_kopf,UK,1905,GBP,2025,"Eigene Berechnung: 132,8 Mrd / 69,7 Mio.",siehe ONS + DataReportal,VERIFIED,abgeleitet
amazon_anteil_ecommerce,UK,25,% (ca.),2025,businesstats.com UK E-Commerce Statistics,https://businesstats.com/e-commerce-in-the-uk/,THIRD-PARTY ESTIMATE,"""roughly a quarter""; schwache Quelle; eBay, Argos, Tesco, Temu als Wettbewerber"
onlineshop_umsatz_netto,DE: amazon.de,15004.6,Mio. EUR,2024,EHI/ECDB Top 100 Onlineshops (30.09.2025),https://www.ehi.org/news/top-100-onlineshops-in-deutschland/,VERIFIED,"Eigenhandel/Shop-Umsatz, ohne Marktplatz-Drittumsatz"
onlineshop_umsatz_netto,DE: otto.de,4410.0,Mio. EUR,2024,EHI/ECDB Top 100 Onlineshops (30.09.2025),https://www.ehi.org/news/top-100-onlineshops-in-deutschland/,VERIFIED,"Eigenhandel/Shop-Umsatz, ohne Marktplatz-Drittumsatz"
onlineshop_umsatz_netto,DE: zalando.de,2581.9,Mio. EUR,2024,EHI/ECDB Top 100 Onlineshops (30.09.2025),https://www.ehi.org/news/top-100-onlineshops-in-deutschland/,VERIFIED,"Eigenhandel/Shop-Umsatz, ohne Marktplatz-Drittumsatz"
onlineshop_umsatz_netto,DE: mediamarkt.de,2115.7,Mio. EUR,2024,EHI/ECDB Top 100 Onlineshops (30.09.2025),https://www.ehi.org/news/top-100-onlineshops-in-deutschland/,VERIFIED,"Eigenhandel/Shop-Umsatz, ohne Marktplatz-Drittumsatz"
onlineshop_umsatz_netto,DE: apple.com,1710.2,Mio. EUR,2024,EHI/ECDB Top 100 Onlineshops (30.09.2025),https://www.ehi.org/news/top-100-onlineshops-in-deutschland/,VERIFIED,"Eigenhandel/Shop-Umsatz, ohne Marktplatz-Drittumsatz"
onlineshop_umsatz_netto,DE: ikea.com,1434.0,Mio. EUR,2024,EHI/ECDB Top 100 Onlineshops (30.09.2025),https://www.ehi.org/news/top-100-onlineshops-in-deutschland/,VERIFIED,"Eigenhandel/Shop-Umsatz, ohne Marktplatz-Drittumsatz"
onlineshop_umsatz_netto,DE: shein.com,1120.2,Mio. EUR,2024,EHI/ECDB Top 100 Onlineshops (30.09.2025),https://www.ehi.org/news/top-100-onlineshops-in-deutschland/,VERIFIED,"Eigenhandel/Shop-Umsatz, ohne Marktplatz-Drittumsatz"
bip_pro_kopf_ppp,DE,74004,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 76747
bip_pro_kopf_nominal,DE,60439,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,AT,75825,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 78334
bip_pro_kopf_nominal,AT,63161,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,CH,102096,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 105680
bip_pro_kopf_nominal,CH,115620,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,US,89991,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 94430
bip_pro_kopf_nominal,US,89991,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,UK,65525,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 67585
bip_pro_kopf_nominal,UK,57608,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,CA,67013,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 70006
bip_pro_kopf_nominal,CA,55765,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,AU,72132,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 74755
bip_pro_kopf_nominal,AU,66352,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,IE,152632,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 159129
bip_pro_kopf_nominal,IE,130652,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,NZ,55840,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 58308
bip_pro_kopf_nominal,NZ,48621,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
bip_pro_kopf_ppp,IN,11789,Int. USD (PPP),2025,"IMF World Economic Outlook DataMapper (PPPPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/PPPPC@WEO,VERIFIED,2026 (Proj.): 12801
bip_pro_kopf_nominal,IN,2675,USD,2025,"IMF WEO DataMapper (NGDPDPC), abgerufen 26.09.2026",https://www.imf.org/external/datamapper/NGDPDPC@WEO,VERIFIED,IE durch Konzernsitze verzerrt
wechselkurs_jahresdurchschnitt,EUR/USD,1.13,USD je EUR,2025,EZB Referenzkurse Jahresdurchschnitt,https://data-api.ecb.europa.eu/service/data/EXR/A.USD.EUR.SP00.A,VERIFIED,für Umrechnungen verwendet
wechselkurs_jahresdurchschnitt,EUR/GBP,0.8568,GBP je EUR,2025,EZB Referenzkurse Jahresdurchschnitt,https://data-api.ecb.europa.eu/service/data/EXR/A.GBP.EUR.SP00.A,VERIFIED,für Umrechnungen verwendet
wechselkurs_jahresdurchschnitt,EUR/CHF,0.937,CHF je EUR,2025,EZB Referenzkurse Jahresdurchschnitt,https://data-api.ecb.europa.eu/service/data/EXR/A.CHF.EUR.SP00.A,VERIFIED,für Umrechnungen verwendet
affiliate_partner_marketing_investitionen,DE,932,Mio. EUR,2025,BVDW/APMC-Studie (PM 17.06.2026),https://www.bvdw.org/news-und-publikationen/apmc-studie-macht-marktpotenzial-von-affiliate-und-partner-marketing-sichtbar/,VERIFIED,+8 % ggü. 2024; 80 % erfolgsbasiert vergütet
affiliate_vermittelter_umsatz,DE,18.7,Mrd. EUR,2025,BVDW/APMC-Studie,https://www.bvdw.org/news-und-publikationen/apmc-studie-macht-marktpotenzial-von-affiliate-und-partner-marketing-sichtbar/,VERIFIED,+12 %; 228 Mio. Transaktionen (~625.000/Tag)
anteil_ecommerce_ueber_affiliate,DE,16,% des E-Commerce-Umsatzes,2025,BVDW/APMC-Studie,https://www.bvdw.org/news-und-publikationen/apmc-studie-macht-marktpotenzial-von-affiliate-und-partner-marketing-sichtbar/,VERIFIED,"""rund 16 Prozent"""
anteil_content_publisher_influencer_an_affiliate_invest,DE,19.1,%,2025,BVDW/APMC-Studie,https://www.bvdw.org/news-und-publikationen/apmc-studie-macht-marktpotenzial-von-affiliate-und-partner-marketing-sichtbar/,VERIFIED,Content-Publisher + Influencer/Social Content
affiliate_marketing_spend,UK,554,Mio. GBP,2017,IAB UK/PwC Affiliate Marketing Study 2017,https://www.iabuk.com/press-release/affiliate-marketing-spend-increases-151-topping-ps550-million,VERIFIED,"VERALTET; generierte Sales 8,9 Mrd. GBP"
creator_partnership_umsatz,UK,966,Mio. GBP,2025,IAB UK The Value of UK Creator Partnership,https://www.iabuk.com/value-uk-creator-partnership,VERIFIED,"Prognose 2026: 1,2 Mrd. GBP"
digital_adspend,UK,40.5,Mrd. GBP,2025,IAB UK Digital Adspend 2025,https://www.iabuk.com/adspend,VERIFIED,+10 %
creator_ad_spend,US,37,Mrd. USD,2025,"Influencer Marketing Hub (zitiert IAB-Prognose), Update 19.08.2026",https://influencermarketinghub.com/influencer-marketing-statistics/,THIRD-PARTY ESTIMATE,"2024: 29,5 Mrd.; 2026F: 44 Mrd. USD; Primärquelle IAB nicht direkt abgerufen"
influencer_marketing_markt,Global,32.55,Mrd. USD,2025,Influencer Marketing Hub (Schätzung),https://influencermarketinghub.com/influencer-marketing-statistics/,THIRD-PARTY ESTIMATE,
affiliate_marketing_spend,US,,Mrd. USD,2023,Statista/AffiliateBLOG (Paywall),https://www.statista.com/statistics/693438/affiliate-marketing-spending/,UNKNOWN,Wert hinter Paywall
influencer_marketing_markt,DE/DACH,560,Mio. EUR,2017,Goldmedia Marktstudie Influencer-Marketing DACH (01.03.2018),https://www.goldmedia.com/studie/goldmedia-marktstudie-influencer-marketing-in-der-region-dach/,VERIFIED,VERALTET; ca. 30.000 deutschsprachige Influencer in DACH (2018)
amazon_associates_provision,US: Home/Furniture/Home Improvement/Lawn & Garden/Pets/Toys/Beauty/Sports/Outdoors/Tools,3.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,US: Kitchen,4.5,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,US: Apparel/Shoes/Jewelry/Watches/Amazon Devices,4.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,US: PC/PC Components,2.5,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,US: Televisions/Digital Video Games,2.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,US: Physical Video Games & Consoles/Grocery/Health,1.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,US: Luxury Beauty,10.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,US: All other categories,4.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,DE: Möbel/Wohnen/Baumarkt/Küche & Esszimmer/Elektro- & Handwerkzeuge/Bücher/Auto,5.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,DE: Bekleidung/Schuhe/Uhren/Luxus,6.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,DE: Beauty/Sport & Fitness/Gepäck,4.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,DE: Haushaltsgroßgeräte/Mobile Elektronik/Fire TV,2.5,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,DE: Videospiele/Konsolen/Lebensmittel,1.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,"DE: Alle anderen (u.a. Garten, Haustier, Spielzeug, Computer)",3.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://partnernet.amazon.de/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,Garten/Haustier/Spielzeug nicht explizit gelistet => 3 % (Interpretation)
amazon_associates_provision,UK: Furniture/Home/Home Improvement/Kitchen & Dining/Power & Hand Tools/Books,5.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.co.uk/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,UK: Clothing/Shoes/Watches/Luxury,6.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.co.uk/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,UK: Beauty/Sports & Fitness/Luggage,4.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.co.uk/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,UK: Appliances/Mobile Electronics/Fire TV,2.5,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.co.uk/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,UK: Video Games/Consoles/Grocery,1.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.co.uk/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_associates_provision,UK: All other categories,3.0,%,2026,Amazon Associates Standard-Vergütungssätze (abgerufen 26.09.2026),https://affiliate-program.amazon.co.uk/help/node/topic/GRXPHT8U84RAYDXZ,VERIFIED,kein Gültigkeitsdatum auf Seite
amazon_retouren_regel,DE,,,2026,Amazon PartnerNet Teilnahmebedingungen,https://partnernet.amazon.de/help/operating/agreement,VERIFIED,"Amazon kann Vergütungen zurückbehalten, um Stornierungen oder Rücksendungen zu berücksichtigen"
retourenquote_pakete,DE,24.2,% der Pakete,2021,"Uni Bamberg Forschungsgruppe Retourenmanagement, Europ. Retourentacho (PM 07.09.2022)",https://www.retourenforschung.de/info-ergebnisse-des-europaeischen-retourentachos-veroeffentlicht.html,VERIFIED,"DE ""Retouren-Europameister"", CH und AT knapp dahinter"
retourensendungen_anzahl,DE,530,Mio. Sendungen,2021,Uni Bamberg Europ. Retourentacho,https://www.retourenforschung.de/info-ergebnisse-des-europaeischen-retourentachos-veroeffentlicht.html,VERIFIED,"ca. 1,3 Mrd. retournierte Artikel"
fashion_anteil_an_retouren,DE,83,% der Retourensendungen,2021,Uni Bamberg Europ. Retourentacho,https://www.retourenforschung.de/info-ergebnisse-des-europaeischen-retourentachos-veroeffentlicht.html,VERIFIED,91 % der retournierten Artikel
kosten_pro_retoure,DE,6.95,EUR je Sendung,2021,Uni Bamberg Europ. Retourentacho,https://www.retourenforschung.de/info-ergebnisse-des-europaeischen-retourentachos-veroeffentlicht.html,VERIFIED,"2,85 EUR je Artikel"
retouren_gesamt,US,849.9,Mrd. USD,2025,NRF/Happy Returns 2025 Retail Returns Report (15.10.2025),https://nrf.com/media-center/press-releases/consumers-expected-to-return-nearly-850-billion-in-merchandise-in-2025,VERIFIED,"15,8 % des Umsatzes"
retourenquote_online,US,19.3,% der Online-Umsätze,2025,NRF/Happy Returns,https://nrf.com/media-center/press-releases/consumers-expected-to-return-nearly-850-billion-in-merchandise-in-2025,VERIFIED,
retourenquote_fashion,UK,30,% (bis zu),2025,Transport Intelligence Brief,https://ti-insight.com/briefs/uk-e-commerce-growth-and-the-evolving-returns-landscape/,THIRD-PARTY ESTIMATE,"""can reach 30%""; 62 % der UK-Konsumenten praktizieren Bracketing (Fulfilmentcrowd)"
meta_facebook_cpm,US,23.42,USD,2026,"Superads Facebook Ads CPM Benchmarks (>3 Mrd. USD Spend, 13 Monate)",https://www.superads.ai/facebook-ads-costs/cpm-cost-per-mille/united-states,THIRD-PARTY ESTIMATE,"Jul 2025-Jul 2026 Median-CPM-Durchschnitt; Peak 27,47 (Nov 2025)"
